City,State,Cost of Living Index,city_state,geocode,county
New Orleans,LA,92.4,"New Orleans, LA","New Orleans, Orleans Parish, Louisiana, 70116:70119, United States",
New Philadelphia,OH,88.9,"New Philadelphia, OH","New Philadelphia, Tuscarawas County, Ohio, United States",Tuscarawas County
New York,NY,128.0,"New York, NY","New York, United States",
Niles,MI,89.7,"Niles, MI","Niles, Berrien County, Michigan, 49120, United States",Berrien County
North Wilkesboro,NC,90.5,"North Wilkesboro, NC","North Wilkesboro, Wilkes County, North Carolina, United States",Wilkes County
Oak Harbor,WA,125.2,"Oak Harbor, WA","Oak Harbor, Island County, Washington, United States",Island County
Ocala,FL,94.5,"Ocala, FL","Ocala, Marion County, Florida, United States",Marion County
Ocean City,NJ,109.5,"Ocean City, NJ","Ocean City, Cape May County, New Jersey, United States",Cape May County
Odessa,TX,92.7,"Odessa, TX","Odessa, Ector County, Texas, United States",Ector County
Ogden,UT,99.8,"Ogden, UT","Ogden, Weber County, Utah, 84403, United States",Weber County
Ogdensburg,NY,88.3,"Ogdensburg, NY","Ogdensburg, Saint Lawrence County, New York, 13669-3913, United States",Saint Lawrence County
Oklahoma City,OK,87.3,"Oklahoma City, OK","Oklahoma City, Oklahoma County, Oklahoma, 73104:73106, United States",Oklahoma County
Olean,NY,89.0,"Olean, NY","Olean, Cattaraugus County, New York, 14760, United States",Cattaraugus County
Olympia,WA,110.9,"Olympia, WA","Olympia, Thurston County, Washington, United States",Thurston County
Omaha,NE,92.9,"Omaha, NE","Omaha, Douglas County, Nebraska, 68183, United States",Douglas County
Opelousas,LA,86.1,"Opelousas, LA","Opelousas, St. Landry Parish, Louisiana, 70570, United States",
Orangeburg,SC,85.3,"Orangeburg, SC","Orangeburg, Orangeburg County, South Carolina, 29115, United States",Orangeburg County
Orlando,FL,101.4,"Orlando, FL","Orlando, Orange County, Florida, United States",Orange County
Oshkosh,WI,89.0,"Oshkosh, WI","Oshkosh, Winnebago County, Wisconsin, 54903, United States",Winnebago County
Ottawa,IL,86.6,"Ottawa, IL","Ottawa, LaSalle County, Illinois, United States",LaSalle County
Owensboro,KY,86.6,"Owensboro, KY","Owensboro, Daviess County, Kentucky, 42, United States",Daviess County
Owosso,MI,84.8,"Owosso, MI","Owosso, Shiawassee County, Michigan, 48867, United States",Shiawassee County
Paducah,KY,85.7,"Paducah, KY","Paducah, McCracken County, Kentucky, 42002, United States",McCracken County
Palatka,FL,93.2,"Palatka, FL","Palatka, Putnam County, Florida, United States",Putnam County
Panama City,FL,101.9,"Panama City, FL","Panama City, Bay County, Florida, United States",Bay County
Parkersburg,WV,84.7,"Parkersburg, WV","Parkersburg, Wood County, West Virginia, United States",Wood County
Pensacola,FL,97.9,"Pensacola, FL","Pensacola, Escambia County, Florida, 32501, United States",Escambia County
Peoria,IL,86.7,"Peoria, IL","Peoria, Peoria County, Illinois, United States",Peoria County
Philadelphia,PA,103.4,"Philadelphia, PA","Philadelphia, Philadelphia County, Pennsylvania, United States",Philadelphia County
Phoenix,AZ,104.3,"Phoenix, AZ","Phoenix, Maricopa County, Arizona, 85004-1905, United States",Maricopa County
Pine Bluff,AR,82.3,"Pine Bluff, AR","Pine Bluff, Jefferson County, Arkansas, 71601, United States",Jefferson County
Pittsburgh,PA,93.1,"Pittsburgh, PA","Pittsburgh, Allegheny County, Pennsylvania, United States",Allegheny County
Pittsfield,MA,106.4,"Pittsfield, MA","Pittsfield, Berkshire County, Massachusetts, United States",Berkshire County
Plattsburgh,NY,93.7,"Plattsburgh, NY","Plattsburgh, Clinton County, New York, 12901, United States",Clinton County
Pocatello,ID,90.8,"Pocatello, ID","Pocatello, Bannock County, Idaho, United States",Bannock County
Port Angeles,WA,109.1,"Port Angeles, WA","Port Angeles, Clallam County, Washington, 98362, United States",Clallam County
Port St. Lucie,FL,101.1,"Port St. Lucie, FL","Port Saint Lucie, Saint Lucie County, Florida, United States",Saint Lucie County
Portland,ME,113.0,"Portland, ME","Portland, Cumberland County, Maine, United States",Cumberland County
Portland,OR,116.5,"Portland, OR","Portland, Multnomah County, Oregon, United States",Multnomah County
Portsmouth,OH,84.7,"Portsmouth, OH","Portsmouth, Scioto County, Ohio, United States",Scioto County
Pottsville,PA,87.0,"Pottsville, PA","Pottsville, Schuylkill County, Pennsylvania, 17901, United States",Schuylkill County
