City,State,Cost of Living Index,city_state,geocode,county
Hagerstown,MD,99.7,"Hagerstown, MD","Hagerstown, Washington County, Maryland, United States",Washington County
Logan,UT,95.2,"Logan, UT","Logan, Cache County, Utah, United States",Cache County
Louisville,KY,91.6,"Louisville, KY","Louisville, Jefferson County, Kentucky, 40202-2923, United States",Jefferson County
Miami,FL,110.1,"Miami, FL","Miami, Miami-Dade County, Florida, United States",Miami-Dade County
Minneapolis,MN,105.4,"Minneapolis, MN","Minneapolis, Hennepin County, Minnesota, United States",Hennepin County
Ventura,CA,132.2,"Ventura, CA","Ventura County, California, United States",Ventura County
Melbourne,FL,99.3,"Melbourne, FL","Melbourne, Brevard County, Florida, United States",Brevard County
Vero Beach,FL,98.9,"Vero Beach, FL","Vero Beach, Indian River County, Florida, United States",Indian River County
Weirton,WV,82.6,"Weirton, WV","Weirton, Hancock County, West Virginia, 26062-4500, United States",Hancock County
Wheeling,WV,84.1,"Wheeling, WV","Wheeling, Ohio County, West Virginia, 26003, United States",Ohio County
New London,CT,105.9,"New London, CT","New London, New London County, Connecticut, 06320, United States",New London County
Daphne,AL,96.6,"Daphne, AL","Daphne, Baldwin County, Alabama, 35626, United States",Baldwin County
Victoria,TX,89.5,"Victoria, TX","Victoria County, Texas, United States",Victoria County
Aberdeen,WA,97.6,"Aberdeen, WA","Aberdeen, Grays Harbor County, Washington, 98537-0525, United States",Grays Harbor County
