County & State,FIPS,2017,2018,2019,2020,2021
"Pima County,  Arizona",04019,183398,194120,209380,225874,245311
"Pinal County,  Arizona",04021,179274,195216,213127,230822,254897
"Santa Cruz County,  Arizona",04023,166930,146772,160257,160943,177328
"Yuma County,  Arizona",04027,126512,137685,147375,150182,162831
"Arkansas County,  Arkansas",05001,79476,82898,87229,91858,95812
"Ashley County,  Arkansas",05003,69068,70406,74604,79210,82619
"Baxter County,  Arkansas",05005,126572,128425,134391,138306,144259
"Benton County,  Arkansas",05007,186773,189735,207816,216425,232572
"Boone County,  Arkansas",05009,117426,120373,130322,128871,134418
"Bradley County,  Arkansas",05011,72222,76704,81177,93103,97110
"Calhoun County,  Arkansas",05013,72537,73297,72412,72574,75698
"Carroll County,  Arkansas",05015,122156,125018,132304,141935,148044
"Chicot County,  Arkansas",05017,60237,65038,65735,72263,75374
"Clark County,  Arkansas",05019,91670,98074,105280,115704,120684
"Clay County,  Arkansas",05021,67175,72265,75543,80247,83700
"Cleburne County,  Arkansas",05023,132985,131109,138147,134677,140474
"Cleveland County,  Arkansas",05025,84523,88479,84792,99883,103082
"Columbia County,  Arkansas",05027,83050,78665,86394,84912,88567
"Conway County,  Arkansas",05029,96191,101893,105802,111557,116359
"Craighead County,  Arkansas",05031,142257,141023,156024,163659,171636
"Crawford County,  Arkansas",05033,116688,116924,121576,118862,125595
"Crittenden County,  Arkansas",05035,119272,112371,117639,121430,128570
"Cross County,  Arkansas",05037,86624,81969,87229,89267,93108
"Dallas County,  Arkansas",05039,65178,66587,69491,72989,76130
"Desha County,  Arkansas",05041,62339,58534,65526,72885,76022
"Drew County,  Arkansas",05043,98398,96215,101837,103470,107923
"Faulkner County,  Arkansas",05045,166195,167486,165624,176806,183903
"Franklin County,  Arkansas",05047,100035,94162,97968,104108,110005
"Fulton County,  Arkansas",05049,101657,94254,97559,89577,93433
"Garland County,  Arkansas",05051,142239,145857,155296,146804,152807
"Grant County,  Arkansas",05053,114874,125209,131650,129588,134790
"Greene County,  Arkansas",05055,113221,113972,118009,123169,128470
"Hempstead County,  Arkansas",05057,78529,78665,82847,84083,87702
"Hot Spring County,  Arkansas",05059,87570,91776,95889,100256,104571
"Howard County,  Arkansas",05061,88200,97144,96515,99427,103706
"Independence County,  Arkansas",05063,100921,107778,109766,102537,106951
"Izard County,  Arkansas",05065,81998,81969,85038,85741,89431
"Jackson County,  Arkansas",05067,63707,63283,69804,69049,72021
"Jefferson County,  Arkansas",05069,78142,87058,85916,83939,86627
"Johnson County,  Arkansas",05071,94508,98487,103193,107307,111925
"Lafayette County,  Arkansas",05073,64548,68032,66048,66976,69858
"Lawrence County,  Arkansas",05075,67806,79594,78986,79625,83051
"Lee County,  Arkansas",05077,62550,69271,75856,76721,80023
"Lincoln County,  Arkansas",05079,59475,67069,76007,78487,81000
"Little River County,  Arkansas",05081,79370,74742,75334,80765,84241
"Logan County,  Arkansas",05083,87465,93325,94115,102641,107059
"Lonoke County,  Arkansas",05085,146960,145283,138900,159749,166162
"Madison County,  Arkansas",05087,116388,114051,113258,126309,135733
"Marion County,  Arkansas",05089,108175,121095,124165,125139,130525
"Miller County,  Arkansas",05091,104142,110746,119367,113853,116472
"Mississippi County,  Arkansas",05093,83681,84033,86290,87608,91378
"Monroe County,  Arkansas",05095,57820,56263,67091,63658,66398
"Montgomery County,  Arkansas",05097,86413,100035,111332,106581,111168
"Nevada County,  Arkansas",05099,70013,64729,67300,68738,71697
"Newton County,  Arkansas",05101,87150,94563,109662,118918,124036
"Ouachita County,  Arkansas",05103,69803,70096,75334,78069,81429
"Perry County,  Arkansas",05105,89311,100471,98815,110556,114994
"Phillips County,  Arkansas",05107,64337,69271,71160,73300,76455
"Pike County,  Arkansas",05109,78529,81143,85872,88022,91811
"Poinsett County,  Arkansas",05111,81659,80204,78690,81725,85709
"Polk County,  Arkansas",05113,88621,89918,94011,102952,107383
"Pope County,  Arkansas",05115,123103,130180,130426,131049,136689
"Prairie County,  Arkansas",05117,69803,67413,70952,69879,72886
"Pulaski County,  Arkansas",05119,158439,158463,170596,164222,170814
"Randolph County,  Arkansas",05121,77478,84137,85977,90407,94298
"St. Francis County,  Arkansas",05123,63916,63902,66048,66976,69858
"Saline County,  Arkansas",05125,152233,156233,163138,178782,185959
"Scott County,  Arkansas",05127,80737,72058,75960,79106,82511
"Searcy County,  Arkansas",05129,90724,92602,102254,107307,111925
"Sebastian County,  Arkansas",05131,123813,129603,145600,143935,152088
"Sevier County,  Arkansas",05133,71696,77839,82638,87400,91162
"Sharp County,  Arkansas",05135,78635,82485,84516,83668,87269
"Stone County,  Arkansas",05137,97452,110772,118844,125554,130957
"Union County,  Arkansas",05139,78424,82485,86394,89681,93541
"Van Buren County,  Arkansas",05141,94508,102100,106010,105440,109978
