County & State,FIPS,2017,2018,2019,2020,2021
"Whitley County,  Indiana",18183,147828,140567,144611,152427,162151
"Adair County,  Iowa",19001,99955,96917,104143,107577,112115
"Adams County,  Iowa",19003,97947,88285,89578,89990,93786
"Allamakee County,  Iowa",19005,123717,127697,129945,134111,139768
"Appanoose County,  Iowa",19007,87237,81110,81151,83716,87248
"Audubon County,  Iowa",19009,72512,71543,73972,81762,85212
"Benton County,  Iowa",19011,149550,152365,162020,161847,169262
"Black Hawk County,  Iowa",19013,141804,159311,145806,163083,167867
"Boone County,  Iowa",19015,133423,135704,137228,136476,142233
"Bremer County,  Iowa",19017,158965,161182,164247,170169,175160
"Buchanan County,  Iowa",19019,141232,137784,143574,146555,152738
"Buena Vista County,  Iowa",19021,115908,115530,117252,118890,123905
"Butler County,  Iowa",19023,119813,116570,120477,120021,125084
"Calhoun County,  Iowa",19025,84895,80902,83231,84334,87891
"Carroll County,  Iowa",19027,126283,132481,138060,142853,148879
"Cass County,  Iowa",19029,99844,97332,101750,105006,109435
"Cedar County,  Iowa",19031,150268,149535,156787,160440,167207
"Cerro Gordo County,  Iowa",19033,128515,126345,129425,132260,137839
"Cherokee County,  Iowa",19035,93931,92757,99045,109736,114366
"Chickasaw County,  Iowa",19037,115351,109291,116524,122489,127656
"Clarke County,  Iowa",19039,101740,109187,108929,113439,118224
"Clay County,  Iowa",19041,123271,120314,125471,127632,133016
"Clayton County,  Iowa",19043,119032,121146,125888,125163,130443
"Clinton County,  Iowa",19045,122825,116882,119541,121461,126585
"Crawford County,  Iowa",19047,100625,97125,94364,96058,100110
"Dallas County,  Iowa",19049,223233,254962,277011,290534,303154
"Davis County,  Iowa",19051,111446,113451,118605,118272,123262
"Decatur County,  Iowa",19053,90919,79342,79902,85567,89177
"Delaware County,  Iowa",19055,137550,131025,139621,139973,145878
"Des Moines County,  Iowa",19057,109549,105444,107785,111588,116295
"Dickinson County,  Iowa",19059,187194,182915,186542,199830,208259
"Dubuque County,  Iowa",19061,169296,174220,173828,175576,180591
"Emmet County,  Iowa",19063,93820,89117,89890,91841,95716
"Fayette County,  Iowa",19065,98394,94421,98629,107063,111579
"Floyd County,  Iowa",19067,109549,106483,108929,109222,113830
"Franklin County,  Iowa",19069,95828,90573,92075,96778,100860
"Fremont County,  Iowa",19071,111669,104196,106848,112410,117152
"Greene County,  Iowa",19073,95159,92445,98109,97395,101503
"Grundy County,  Iowa",19075,131806,134994,132937,133712,137633
"Guthrie County,  Iowa",19077,119155,117997,119086,120613,125852
"Hamilton County,  Iowa",19079,104418,102844,105704,109120,113722
"Hancock County,  Iowa",19081,102187,101492,107056,105109,109542
"Hardin County,  Iowa",19083,98951,94941,96652,96984,101075
"Harrison County,  Iowa",19085,123242,114701,121623,126123,133449
"Henry County,  Iowa",19087,115908,112203,113091,118787,123798
"Howard County,  Iowa",19089,105534,111995,111946,110148,114794
"Humboldt County,  Iowa",19091,100179,97645,106432,106754,111257
"Ida County,  Iowa",19093,89581,95565,100086,103771,108149
"Iowa County,  Iowa",19095,154731,149638,152314,156840,163456
"Jackson County,  Iowa",19097,127511,121666,128489,131849,137410
"Jasper County,  Iowa",19099,131303,127697,133170,138019,143842
"Jefferson County,  Iowa",19101,112674,118858,113819,121667,126799
"Johnson County,  Iowa",19103,205922,235233,242164,260272,267266
"Jones County,  Iowa",19105,137529,134736,136557,142491,149020
"Keokuk County,  Iowa",19107,86011,87037,92387,92973,96895
"Kossuth County,  Iowa",19109,102968,108459,107785,105006,109435
"Lee County,  Iowa",19111,95270,93797,97069,97189,101289
"Linn County,  Iowa",19113,154932,162467,161404,171525,179384
"Louisa County,  Iowa",19115,111446,108355,112883,111896,116616
"Lucas County,  Iowa",19117,91923,88285,91138,99143,103325
"Lyon County,  Iowa",19119,123941,130193,137748,151080,157454
"Madison County,  Iowa",19121,184077,168088,171077,181584,189471
"Mahaska County,  Iowa",19123,118474,114491,118605,118581,123584
"Marion County,  Iowa",19125,153169,152758,158556,161776,168601
"Marshall County,  Iowa",19127,116577,108771,109761,109017,113615
"Mills County,  Iowa",19129,177334,167361,174411,176635,186895
"Mitchell County,  Iowa",19131,121263,116778,119021,122798,127978
"Monona County,  Iowa",19133,88577,87662,90202,89373,93143
"Monroe County,  Iowa",19135,107429,103052,96236,103052,107399
"Montgomery County,  Iowa",19137,87796,85062,86769,88139,91857
"Muscatine County,  Iowa",19139,141567,133209,132234,134214,139875
"O'Brien County,  Iowa",19141,114569,112307,115900,110045,114687
"Osceola County,  Iowa",19143,93261,93069,95612,96367,100432
"Page County,  Iowa",19145,92035,91093,95092,97087,101182
"Palo Alto County,  Iowa",19147,95159,102012,104039,105109,109542
"Plymouth County,  Iowa",19149,154284,156190,162197,168153,175246
"Pocahontas County,  Iowa",19151,72178,76327,78446,78163,81460
"Polk County,  Iowa",19153,173420,189361,194401,202965,211781
"Pottawattamie County,  Iowa",19155,149110,150838,149601,151850,160670
"Poweshiek County,  Iowa",19157,143574,136328,145863,145115,151237
"Ringgold County,  Iowa",19159,86568,82774,92699,101509,105791
"Sac County,  Iowa",19161,90584,91613,94156,98526,102682
"Scott County,  Iowa",19163,162225,161640,177600,179410,185766
"Shelby County,  Iowa",19165,121375,116155,121726,124649,129907
"Sioux County,  Iowa",19167,157185,159933,165839,172267,179534
"Story County,  Iowa",19169,191741,205378,201316,203552,212153
"Tama County,  Iowa",19171,114904,109499,112154,113542,118331
"Taylor County,  Iowa",19173,78536,79134,82711,82894,86391
"Union County,  Iowa",19175,97278,98060,103831,106960,111472
"Van Buren County,  Iowa",19177,85118,85998,94572,95441,99467
"Wapello County,  Iowa",19179,89692,84230,85312,84437,87998
"Warren County,  Iowa",19181,183732,179615,181455,191507,199825
"Washington County,  Iowa",19183,134148,145877,152390,153829,157963
"Wayne County,  Iowa",19185,78759,77679,80734,83408,86926
"Webster County,  Iowa",19187,95828,99100,100502,101920,106220
"Winnebago County,  Iowa",19189,104975,98164,97901,97498,101611
"Winneshiek County,  Iowa",19191,176038,167941,174578,182346,190038
"Woodbury County,  Iowa",19193,125188,129095,132715,135223,140246
"Worth County,  Iowa",19195,107541,101908,108513,109736,114366
"Wright County,  Iowa",19197,81883,82358,88746,87933,91642
"Allen County,  Kansas",20001,75653,80477,83605,81807,85559
"Anderson County,  Kansas",20003,100279,90306,99221,98725,103253
"Atchison County,  Kansas",20005,97728,95118,107932,113890,119114
"Barber County,  Kansas",20007,86635,77405,70538,74586,78006
"Barton County,  Kansas",20009,90073,89691,98052,96249,100664
"Bourbon County,  Kansas",20011,90296,84572,88491,85314,89228
"Brown County,  Kansas",20013,93845,85903,94228,91298,95485
"Butler County,  Kansas",20015,150543,159924,157364,166865,176469
"Chase County,  Kansas",20017,84970,87234,102195,106875,111777
"Chautauqua County,  Kansas",20019,53800,64811,66395,51065,53407
"Cherokee County,  Kansas",20021,80423,80272,85304,85108,89012
"Cheyenne County,  Kansas",20023,91849,88668,89235,81188,84912
"Clark County,  Kansas",20025,68997,78224,82542,78300,81891
"Clay County,  Kansas",20027,107045,102592,103364,101098,105735
"Cloud County,  Kansas",20029,76540,74948,78506,78196,81783
"Coffey County,  Kansas",20031,113147,113651,125035,122865,128500
"Comanche County,  Kansas",20033,68553,74948,83711,72523,75849
"Cowley County,  Kansas",20035,92292,87746,92741,91814,96025
"Crawford County,  Kansas",20037,95287,89385,96671,96868,101311
"Decatur County,  Kansas",20039,62008,64914,68732,70046,73259
"Dickinson County,  Kansas",20041,120024,113343,116324,118326,123753
"Doniphan County,  Kansas",20043,90871,103473,111998,102852,108381
"Douglas County,  Kansas",20045,193504,222337,218776,218291,230991
"Edwards County,  Kansas",20047,62563,62661,64377,63341,66246
"Elk County,  Kansas",20049,54576,49453,53541,56429,59017
"Ellis County,  Kansas",20051,166614,163207,174752,174446,182447
"Ellsworth County,  Kansas",20053,90296,90613,100071,102543,107246
"Finney County,  Kansas",20055,129786,129213,149256,157321,164537
"Ford County,  Kansas",20057,110373,110988,116749,116057,121380
"Franklin County,  Kansas",20059,144907,130939,132148,135862,144380
"Geary County,  Kansas",20061,147196,145154,146246,153271,157125
"Gove County,  Kansas",20063,84638,80784,85623,92433,96672
"Graham County,  Kansas",20065,76097,71262,74469,74792,78223
"Grant County,  Kansas",20067,110263,105255,115793,119770,125264
"Gray County,  Kansas",20069,119690,120715,139483,139784,146195
"Greeley County,  Kansas",20071,93734,88156,104001,114715,119977
"Greenwood County,  Kansas",20073,63450,62558,67457,68809,71964
"Hamilton County,  Kansas",20075,96064,88873,89872,84386,88256
"Harper County,  Kansas",20077,74210,68292,76806,76649,80165
"Harvey County,  Kansas",20079,126849,125312,130712,134883,142646
"Haskell County,  Kansas",20081,128677,105050,111225,110383,115446
"Hodgeman County,  Kansas",20083,91959,88770,86792,87481,91493
"Jackson County,  Kansas",20085,128904,133582,139677,140168,149189
"Jefferson County,  Kansas",20087,137218,141611,152854,156713,166799
"Jewell County,  Kansas",20089,58902,54982,56091,57873,60528
"Johnson County,  Kansas",20091,255339,274575,291757,307919,327224
"Kearny County,  Kansas",20093,104383,100545,116324,120389,125911
"Kingman County,  Kansas",20095,97616,94401,100071,94392,98722
"Kiowa County,  Kansas",20097,134555,136995,127372,117501,122890
"Labette County,  Kansas",20099,77871,76688,83711,78815,82430
"Lane County,  Kansas",20101,73433,78224,81480,93670,97967
"Leavenworth County,  Kansas",20103,188546,191083,206219,221307,235182
"Lincoln County,  Kansas",20105,74210,70545,77762,74998,78438
"Linn County,  Kansas",20107,106469,96187,105003,116863,124190
"Logan County,  Kansas",20109,87855,85084,92634,89338,93435
"Lyon County,  Kansas",20111,103606,100852,110588,110177,115230
"McPherson County,  Kansas",20113,147423,143650,155736,156599,163782
"Marion County,  Kansas",20115,90516,83241,92210,93670,97967
"Marshall County,  Kansas",20117,96174,95630,100814,102026,106706
"Meade County,  Kansas",20119,95952,90818,98477,99860,104440
"Miami County,  Kansas",20121,197375,194849,201063,213771,227174
"Mitchell County,  Kansas",20123,98726,87746,90616,91711,95917
"Montgomery County,  Kansas",20125,78315,75767,79674,78609,82214
"Morris County,  Kansas",20127,94511,97371,107507,106256,111130
"Morton County,  Kansas",20129,110263,100033,100602,91298,95485
"Nemaha County,  Kansas",20131,121910,119282,131197,134625,140800
"Neosho County,  Kansas",20133,77428,79146,86261,84592,88472
"Ness County,  Kansas",20135,74432,72183,77974,75617,79086
"Norton County,  Kansas",20137,80866,75459,79780,85521,89443
"Osage County,  Kansas",20139,106124,111787,116696,120397,128146
"Osborne County,  Kansas",20141,63672,62763,72769,71181,74446
"Ottawa County,  Kansas",20143,102719,100954,104957,109042,114043
"Pawnee County,  Kansas",20145,85858,77405,79993,85005,88904
"Phillips County,  Kansas",20147,80644,78736,84986,82116,85883
"Pottawatomie County,  Kansas",20149,173930,173182,186355,188601,193343
"Pratt County,  Kansas",20151,95287,89691,99008,94805,99153
"Rawlins County,  Kansas",20153,83861,83651,100921,104812,109619
"Reno County,  Kansas",20155,104383,98907,104214,104502,109295
"Republic County,  Kansas",20157,54243,61944,66714,68087,71209
"Rice County,  Kansas",20159,83529,76586,79355,77061,80596
"Riley County,  Kansas",20161,193360,205507,222351,212705,218053
"Rooks County,  Kansas",20163,75320,77200,82861,81291,85020
"Rush County,  Kansas",20165,68886,71569,76806,73038,76388
"Russell County,  Kansas",20167,89852,92251,94865,96353,100772
"Saline County,  Kansas",20169,135554,128394,136508,141125,147598
"Scott County,  Kansas",20171,139769,139145,142564,140506,146950
"Sedgwick County,  Kansas",20173,137136,147622,156833,165367,174885
"Seward County,  Kansas",20175,96618,100852,104320,108629,113612
"Shawnee County,  Kansas",20177,136734,136710,143367,139856,148857
"Sheridan County,  Kansas",20179,101388,103412,113562,117501,122890
"Sherman County,  Kansas",20181,85414,88361,98477,114922,120193
"Smith County,  Kansas",20183,70993,67780,71069,72419,75741
"Stafford County,  Kansas",20185,72214,63275,66076,67983,71102
"Stanton County,  Kansas",20187,81865,73617,84667,95527,99909
"Stevens County,  Kansas",20189,106934,112627,118874,118533,123969
"Sumner County,  Kansas",20191,91905,90491,92804,96054,101583
"Thomas County,  Kansas",20193,116586,116722,128328,133800,139937
"Trego County,  Kansas",20195,96396,86415,95715,102439,107138
"Wabaunsee County,  Kansas",20197,124478,116689,136093,152655,162480
"Wallace County,  Kansas",20199,84638,90408,105489,92226,96456
"Washington County,  Kansas",20201,76317,77098,83074,84592,88472
"Wichita County,  Kansas",20203,78315,86006,94440,91711,95917
"Wilson County,  Kansas",20205,66668,68292,71600,75824,79301
"Woodson County,  Kansas",20207,53578,54470,63527,75927,79409
"Wyandotte County,  Kansas",20209,98751,116629,112789,111131,118098
"Adair County,  Kentucky",21001,88321,89840,94723,100637,106156
"Allen County,  Kentucky",21003,102361,107201,118721,125900,132805
"Anderson County,  Kentucky",21005,146629,144957,150330,156384,164960
"Ballard County,  Kentucky",21007,109115,107306,105506,107423,113314
"Barren County,  Kentucky",21009,113402,115463,123161,130911,138091
"Bath County,  Kentucky",21011,78781,81472,93243,93642,98778
"Bell County,  Kentucky",21013,64740,62124,63325,62428,65852
"Boyd County,  Kentucky",21019,104362,105351,117872,115834,119390
"Greenup County,  Kentucky",21089,102269,104743,116907,121563,125295
"Boyle County,  Kentucky",21021,142020,147571,150224,152834,161216
"Breathitt County,  Kentucky",21025,50912,52292,53704,56373,59465
"Breckinridge County,  Kentucky",21027,94323,99566,105295,107423,113314
"Butler County,  Kentucky",21031,97324,94546,95251,96147,101421
"Caldwell County,  Kentucky",21033,103648,99671,94194,91763,96796
"Calloway County,  Kentucky",21035,128515,136067,145044,143334,151195
"Carlisle County,  Kentucky",21039,82747,93291,98846,93225,98337
"Carroll County,  Kentucky",21041,106328,108561,117558,120994,127629
"Carter County,  Kentucky",21043,82640,87120,93454,99175,104614
"Casey County,  Kentucky",21045,81996,81159,85314,91450,96465
"Clay County,  Kentucky",21051,60345,58150,61633,56478,59575
"Clinton County,  Kentucky",21053,69992,69131,69139,76000,80167
"Crittenden County,  Kentucky",21055,81461,88480,94934,93851,98998
"Cumberland County,  Kentucky",21057,68062,94441,96626,93329,98447
"Elliott County,  Kentucky",21063,70849,76034,79711,86334,91069
"Estill County,  Kentucky",21065,76531,74256,79605,80175,84572
"Fleming County,  Kentucky",21069,92930,94023,97577,93851,98998
"Floyd County,  Kentucky",21071,75672,76243,76857,77669,81929
"Franklin County,  Kentucky",21073,147380,145689,150224,149180,157362
"Fulton County,  Kentucky",21075,65382,66516,66708,69005,72790
"Garrard County,  Kentucky",21079,137733,137008,147053,146675,154719
"Graves County,  Kentucky",21083,99575,99984,104449,108884,114856
"Grayson County,  Kentucky",21085,102361,106887,113118,118906,125427
"Green County,  Kentucky",21087,79531,79276,81931,82994,87545
"Harlan County,  Kentucky",21095,55736,55953,61845,62950,66402
"Harrison County,  Kentucky",21097,121120,138995,145044,146153,154168
"Hart County,  Kentucky",21099,89607,94337,97789,98549,103954
"Hickman County,  Kentucky",21105,73315,73419,83622,84142,88757
"Hopkins County,  Kentucky",21107,95931,101030,111955,113477,119701
"Jackson County,  Kentucky",21109,70635,73106,82671,91032,96025
"Johnson County,  Kentucky",21115,84890,94441,101806,105752,111552
"Knott County,  Kentucky",21119,62060,54385,54127,53763,56712
"Knox County,  Kentucky",21121,84033,80427,87111,90615,95584
"Laurel County,  Kentucky",21125,101182,106678,113646,116922,123335
"Lawrence County,  Kentucky",21127,87248,84087,87005,82889,87435
"Lee County,  Kentucky",21129,72564,67144,68716,65768,69376
"Leslie County,  Kentucky",21131,48769,51143,65545,66917,70587
"Letcher County,  Kentucky",21133,60345,61183,61845,61175,64530
"Lewis County,  Kentucky",21135,71921,71432,71254,68379,72129
"Lincoln County,  Kentucky",21137,100325,100507,106246,111076,117168
"Livingston County,  Kentucky",21139,93144,94964,110898,106900,112763
"Logan County,  Kentucky",21141,101397,110234,115126,115878,122233
"Lyon County,  Kentucky",21143,151131,128537,141767,147719,155820
"McCracken County,  Kentucky",21145,148993,155206,156356,147510,155600
"McCreary County,  Kentucky",21147,66776,64111,68082,72763,76754
"Madison County,  Kentucky",21151,155462,167025,171051,184153,194252
"Magoffin County,  Kentucky",21153,56916,66203,76434,69736,73560
"Marion County,  Kentucky",21155,105255,105005,108995,110032,116067
"Marshall County,  Kentucky",21157,119619,123516,130032,136862,144368
"Martin County,  Kentucky",21159,73100,68504,71359,88005,92831
"Mason County,  Kentucky",21161,108364,116300,126332,138636,146240
"Menifee County,  Kentucky",21165,83712,81368,83094,80175,84572
"Mercer County,  Kentucky",21167,143200,146316,152445,153774,162207
"Metcalfe County,  Kentucky",21169,88535,78649,82777,80593,85013
"Monroe County,  Kentucky",21171,75672,77916,78865,84038,88647
"Montgomery County,  Kentucky",21173,122191,123621,123901,121829,128510
"Morgan County,  Kentucky",21175,80925,81054,79288,76313,80498
"Muhlenberg County,  Kentucky",21177,83389,85760,90600,98027,103403
"Nicholas County,  Kentucky",21181,89928,85865,89437,89362,94263
"Ohio County,  Kentucky",21183,89714,92350,96520,96565,101861
"Owen County,  Kentucky",21187,105041,103645,105083,121202,127850
"Owsley County,  Kentucky",21189,74815,73210,76011,73285,77304
"Perry County,  Kentucky",21193,76316,76662,78019,78713,83031
"Pike County,  Kentucky",21195,76583,78858,82882,82054,86554
"Powell County,  Kentucky",21197,82104,83460,84151,93746,98888
"Pulaski County,  Kentucky",21199,114473,114104,116818,121307,127960
"Robertson County,  Kentucky",21201,111472,98834,105823,119741,126308
"Rockcastle County,  Kentucky",21203,79210,84505,85420,85499,90188
"Rowan County,  Kentucky",21205,123585,126654,132992,129658,136770
"Russell County,  Kentucky",21207,94323,91304,90600,99175,104614
"Simpson County,  Kentucky",21213,125193,136485,139124,141142,148883
"Taylor County,  Kentucky",21217,100433,111593,123901,125482,132364
"Todd County,  Kentucky",21219,93572,99148,108783,110972,117058
"Union County,  Kentucky",21225,90142,86911,91446,96147,101421
"Washington County,  Kentucky",21229,105149,110443,120201,133939,141284
"Wayne County,  Kentucky",21231,86069,85133,85843,92702,97787
"Whitley County,  Kentucky",21235,83497,87643,92714,96565,101861
"Wolfe County,  Kentucky",21237,56486,68713,67236,67230,70917
"Hardin County,  Kentucky",21093,155662,157891,171810,164974,175693
"Larue County,  Kentucky",21123,119223,112048,113589,120550,128382
"Henderson County,  Kentucky",21101,114221,122793,131127,134610,142982
"Webster County,  Kentucky",21233,80767,84082,83810,79256,84185
"Edmonson County,  Kentucky",21061,99778,90915,95241,89870,94249
"Warren County,  Kentucky",21227,154537,173897,189119,199198,208902
"Bullitt County,  Kentucky",21029,161040,173536,180860,198572,208820
"Henry County,  Kentucky",21103,140382,132945,134395,135289,142272
"Jefferson County,  Kentucky",21111,170339,183867,190133,195208,205283
"Meade County,  Kentucky",21163,145938,148443,157003,161359,169687
"Nelson County,  Kentucky",21179,154617,152660,155752,162621,171014
"Oldham County,  Kentucky",21185,286437,303424,316922,315991,332300
"Shelby County,  Kentucky",21211,203340,194937,195029,207402,218106
"Spencer County,  Kentucky",21215,204730,201263,209719,224221,235794
"Trimble County,  Kentucky",21223,129620,116498,123039,130349,137076
"Boone County,  Kentucky",21015,200031,202858,205484,199956,211012
"Bracken County,  Kentucky",21023,108025,108367,107045,108962,114986
"Campbell County,  Kentucky",21037,176764,191205,186279,188225,198632
"Gallatin County,  Kentucky",21077,121218,116418,117434,135383,142868
"Grant County,  Kentucky",21081,140839,126799,135380,137602,145210
"Kenton County,  Kentucky",21117,159421,168642,170327,186746,197071
"Pendleton County,  Kentucky",21191,118174,112710,110088,123018,129819
"Bourbon County,  Kentucky",21017,157847,153237,149407,152802,161398
"Clark County,  Kentucky",21049,161352,147209,148986,151447,159968
"Fayette County,  Kentucky",21067,185011,204211,203383,220193,232581
"Jessamine County,  Kentucky",21113,181365,173753,176868,179258,189343
"Scott County,  Kentucky",21209,186114,180627,187706,197382,208487
"Woodford County,  Kentucky",21239,204997,199028,206960,211443,223339
"Daviess County,  Kentucky",21059,126122,142218,150815,150704,158767
"Hancock County,  Kentucky",21091,117807,113921,116736,118765,125120
"McLean County,  Kentucky",21149,103675,101077,104248,110727,116652
"Christian County,  Kentucky",21047,110239,133453,128430,137981,147087
"Trigg County,  Kentucky",21221,122277,129867,130316,138516,147658
"Acadia Parish,  Louisiana",22001,100425,99748,112605,120824,124548
"Allen Parish,  Louisiana",22003,89500,86755,97236,99833,102910
"Assumption Parish,  Louisiana",22007,118414,117243,118251,121438,125181
"Avoyelles Parish,  Louisiana",22009,98770,92689,101836,106694,109982
"Beauregard Parish,  Louisiana",22011,114882,117856,121910,130552,134575
"Bienville Parish,  Louisiana",22013,76809,77752,75593,77716,80112
"Caldwell Parish,  Louisiana",22021,71070,69363,77475,79150,81589
"Catahoula Parish,  Louisiana",22025,78464,80515,85839,91130,93939
"Claiborne Parish,  Louisiana",22027,81333,75808,80298,79969,82434
"Concordia Parish,  Louisiana",22029,85417,80310,87826,82529,85073
"East Carroll Parish,  Louisiana",22035,54406,69772,79043,78638,81062
"Evangeline Parish,  Louisiana",22039,92590,92075,96399,98912,101961
"Franklin Parish,  Louisiana",22041,87513,85119,89917,90106,92883
"Iberia Parish,  Louisiana",22045,100286,125427,134771,118367,122015
"Jackson Parish,  Louisiana",22049,85196,86346,91171,91642,94467
"Jefferson Davis Parish,  Louisiana",22053,101418,104147,116683,116728,120326
"LaSalle Parish,  Louisiana",22059,77581,78468,83644,95226,98161
"Lincoln Parish,  Louisiana",22061,139161,149265,157459,158197,163074
"Madison Parish,  Louisiana",22065,68091,65578,68483,79969,82434
"Morehouse Parish,  Louisiana",22067,88948,86858,95040,93280,96155
"Natchitoches Parish,  Louisiana",22069,112455,116731,128184,140688,145025
"Red River Parish,  Louisiana",22081,91596,87881,84480,80583,83067
"Richland Parish,  Louisiana",22083,91045,88904,91171,94099,97000
"Sabine Parish,  Louisiana",22085,88175,86142,96504,96557,99533
"St. James Parish,  Louisiana",22093,142582,139546,159445,162293,167295
"St. Landry Parish,  Louisiana",22097,93585,111616,135084,115397,118954
"St. Mary Parish,  Louisiana",22101,102523,99237,111037,109458,112832
"Tangipahoa Parish,  Louisiana",22105,143101,161132,170215,184103,189778
"Tensas Parish,  Louisiana",22107,59813,63634,71724,67989,70085
"Vermilion Parish,  Louisiana",22113,108261,108137,119506,125124,128981
"Vernon Parish,  Louisiana",22115,108150,119289,124315,122155,125920
"Washington Parish,  Louisiana",22117,87845,86551,92531,103417,106605
"Webster Parish,  Louisiana",22119,90273,83482,87094,83450,86023
"West Carroll Parish,  Louisiana",22123,73718,81231,91067,92461,95311
"Winn Parish,  Louisiana",22127,80671,74376,81866,79559,82011
"Ouachita Parish,  Louisiana",22073,137948,154547,167253,152096,156270
"Union Parish,  Louisiana",22111,98842,90603,101272,90628,93115
"Bossier Parish,  Louisiana",22015,173667,169592,167030,179158,182305
"Caddo Parish,  Louisiana",22017,149035,148293,149972,161294,164127
"De Soto Parish,  Louisiana",22031,104173,109478,116063,121827,123967
"Lafayette Parish,  Louisiana",22055,178787,189235,199447,198822,201870
"St. Martin Parish,  Louisiana",22099,111153,114950,125234,129270,131252
"Lafourche Parish,  Louisiana",22057,154191,158343,162638,164876,166153
"Terrebonne Parish,  Louisiana",22109,139520,152978,158861,170761,172083
"Ascension Parish,  Louisiana",22005,196114,218579,228667,230828,237848
"East Baton Rouge Parish,  Louisiana",22033,203068,198068,206884,213953,220460
"East Feliciana Parish,  Louisiana",22037,142711,128557,124089,142465,146798
"Iberville Parish,  Louisiana",22047,126542,132079,148453,146965,151434
"Livingston Parish,  Louisiana",22063,170757,169061,175604,185010,190637
"Pointe Coupee Parish,  Louisiana",22077,130023,128971,135961,145840,150276
"St. Helena Parish,  Louisiana",22091,88029,80180,89712,102374,105488
"West Baton Rouge Parish,  Louisiana",22121,182458,183357,197593,204544,210765
"West Feliciana Parish,  Louisiana",22125,211315,217128,211117,234715,241853
"Jefferson Parish,  Louisiana",22051,194262,190214,202308,208728,216742
"Orleans Parish,  Louisiana",22071,232172,234855,256074,253247,262970
"Plaquemines Parish,  Louisiana",22075,178593,171038,182594,198719,206348
"St. Bernard Parish,  Louisiana",22087,149499,143511,150123,157745,163801
"St. Charles Parish,  Louisiana",22089,211943,191554,199567,210292,218366
"St. John the Baptist Parish,  Louisiana",22095,172498,157532,160877,160456,166616
"St. Tammany Parish,  Louisiana",22103,219214,220937,241209,242196,251494
"Grant Parish,  Louisiana",22043,89388,95650,110767,105260,109504
"Rapides Parish,  Louisiana",22079,143408,145314,161277,149848,155889
"Calcasieu Parish,  Louisiana",22019,152026,172864,170703,165424,172024
"Cameron Parish,  Louisiana",22023,114520,115555,119723,118942,123688
"Aroostook County,  Maine",23003,109132,103961,105265,98928,106670
"Franklin County,  Maine",23007,137579,140295,151093,147286,158813
"Hancock County,  Maine",23009,210509,213377,230450,224090,241627
"Kennebec County,  Maine",23011,159090,167881,170143,178366,192325
"Knox County,  Maine",23013,209129,205452,225116,224828,242423
"Lincoln County,  Maine",23015,216665,218112,232192,226935,244694
"Oxford County,  Maine",23017,143842,141222,154795,151817,163698
"Piscataquis County,  Maine",23021,116453,119503,123879,115364,124392
"Somerset County,  Maine",23025,113906,111166,122355,121896,131435
"Waldo County,  Maine",23027,167515,164484,175151,171729,185168
"Washington County,  Maine",23029,113482,113224,120287,118419,127686
"Penobscot County,  Maine",23019,146859,143370,156873,161587,173420
"Cumberland County,  Maine",23005,283272,288999,309830,318889,344469
"Sagadahoc County,  Maine",23023,215811,210777,211008,227290,245523
"York County,  Maine",23031,258338,262150,276679,291515,314900
"Androscoggin County,  Maine",23001,161238,160725,170513,183073,200906
"Allegany County,  Maryland",24001,120377,116032,119692,129350,131682
"Somerset County,  Maryland",24039,160109,136102,145653,145966,155932
"Wicomico County,  Maryland",24045,184224,173920,180327,204731,218707
"Caroline County,  Maryland",24011,201161,206835,208049,211757,224299
"Dorchester County,  Maryland",24019,195332,184322,186890,191679,203032
"Garrett County,  Maryland",24023,172023,171780,176884,181850,192620
"Kent County,  Maryland",24029,257253,244049,254538,261324,276801
"St. Mary's County,  Maryland",24037,308299,302235,322914,335361,355223
"Talbot County,  Maryland",24041,332494,335440,345533,352197,373056
"Worcester County,  Maryland",24047,252986,259161,266212,274187,290425
"Anne Arundel County,  Maryland",24003,360566,373552,388602,385595,405174
"Baltimore County,  Maryland",24005,260808,269326,282401,285018,299491
"Carroll County,  Maryland",24013,344721,349181,364642,369195,387942
"Harford County,  Maryland",24025,302921,303342,310966,320412,336682
"Howard County,  Maryland",24027,459698,460977,498675,500391,525799
"Queen Anne's County,  Maryland",24035,369471,355922,364119,366497,385106
"Baltimore city,  Maryland",24510,162197,160123,175572,185895,195334
"Calvert County,  Maryland",24009,369506,371128,378293,385769,406378
"Charles County,  Maryland",24017,308083,332073,332794,340103,358272
"Frederick County,  Maryland",24021,333658,348885,353457,357954,377077
"Montgomery County,  Maryland",24031,508192,498945,510305,515708,543258
"Prince George's County,  Maryland",24033,291282,312963,334464,346849,365379
"Cecil County,  Maryland",24015,263624,249687,255350,270327,284803
"Washington County,  Maryland",24043,211693,234490,221532,223082,236055
"Dukes County,  Massachusetts",25007,715409,722518,698552,703090,766209
"Nantucket County,  Massachusetts",25019,977083,1066641,1105814,1090267,1188144
"Worcester County,  Massachusetts",25027,277710,298789,307391,326786,350221
"Barnstable County,  Massachusetts",25001,399589,425469,431385,430903,463040
"Essex County,  Massachusetts",25009,414092,428623,464396,485464,512786
"Middlesex County,  Massachusetts",25017,498591,540880,567676,594365,627816
"Norfolk County,  Massachusetts",25021,474702,500396,518595,537098,567326
"Plymouth County,  Massachusetts",25023,375824,389091,405707,413489,436761
"Suffolk County,  Massachusetts",25025,478241,525342,561828,619504,654370
