,state,fatalities,injuries,property_damage,crop_damage,total_damage,state_abbrv
0,Alaska,7,8,25.0,0.0,25.0,AK
1,Alabama,13,17,14.79,0.0,14.79,AL
2,Arkansas,10,337,18.25,27.26,45.51,AR
3,Arizona,8,58,10.74,0.05,10.79,AZ
4,California,12,40,108.51,0.2,108.71,CA
5,Colorado,3,21,8.21,1.82,10.03,CO
6,Connecticut,2,3,1.5,0.0,1.5,CT
7,Delaware,0,4,0.55,0.0,0.55,DE
8,Florida,28,81,26.0,1.0,27.0,FL
9,Georgia,5,21,33.51,0.01,33.53,GA
10,Hawaii,4,5,0.09,0.03,0.12,HI
11,Iowa,4,7,94.88,10.83,105.71,IA
12,Idaho,7,4,8.73,0.0,8.74,ID
13,Illinois,32,48,72.35,1.27,73.61,IL
14,Indiana,8,19,4.2,1.15,5.35,IN
15,Kansas,3,6,27.86,7.0,34.86,KS
16,Kentucky,22,31,17.23,0.1,17.33,KY
17,Louisiana,4,16,20.97,1.72,22.69,LA
18,Massachusetts,0,1,5.5,0.0,5.5,MA
19,Maryland,4,9,1.69,0.0,1.69,MD
20,Maine,0,2,0.99,0.05,1.04,ME
21,Michigan,0,9,79.92,0.0,79.92,MI
22,Minnesota,1,6,6.51,0.61,7.12,MN
23,Missouri,26,99,79.53,7.51,87.04,MO
24,Mississippi,13,67,20.23,8.84,29.07,MS
25,Montana,1,2,4.42,0.0,4.42,MT
26,North Carolina,5,25,25.62,0.01,25.63,NC
27,North Dakota,0,0,7.32,2.98,10.29,ND
28,Nebraska,2,0,235.08,72.58,307.66,NE
29,New Hampshire,2,34,0.37,0.0,0.37,NH
30,New Jersey,6,44,65.6,0.0,65.6,NJ
31,New Mexico,9,12,410.92,0.01,410.93,NM
32,Nevada,25,24,4.65,0.0,4.65,NV
33,New York,5,1,32.5,0.01,32.51,NY
34,Ohio,6,9,37.62,0.78,38.4,OH
35,Oklahoma,18,171,122.72,0.0,122.72,OK
36,Oregon,6,8,23.72,0.0,23.72,OR
37,Pennsylvania,15,15,20.54,0.0,20.54,PA
38,Rhode Island,0,0,0.51,0.0,0.51,RI
39,South Carolina,10,11,152.7,24.84,177.53,SC
40,South Dakota,3,14,7.87,0.0,7.87,SD
41,Tennessee,19,8,78.69,2.11,80.8,TN
42,Texas,86,725,2139.03,455.95,2594.98,TX
43,Utah,24,31,2.77,0.0,2.77,UT
44,Virginia,2,3,19.02,0.51,19.53,VA
45,Vermont,0,0,3.55,0.0,3.55,VT
46,Washington,8,7,28.94,0.02,28.96,WA
47,Wisconsin,4,8,8.73,0.01,8.74,WI
48,West Virginia,4,2,20.73,0.0,20.73,WV
49,Wyoming,2,5,10.35,0.25,10.6,WY
