,state,fatalities,injuries,property_damage,crop_damage,total_damage
0,AK (Alaska),0,0,8.55,0.0,8.55
1,AL (Alabama),31,109,0.98,0.0,0.98
2,AR (Arkansas),6,22,24.94,4.18,29.12
3,AZ (Arizona),149,17,15.07,0.0,15.07
4,CA (California),33,84,144.22,20.84,165.05
5,CO (Colorado),17,7,1.42,0.39,1.81
6,CT (Connecticut),3,2,0.8,0.0,0.8
7,DE (Delaware),0,4,0.0,0.0,0.0
8,FL (Florida),33,37,27.58,0.0,27.58
9,GA (Georgia),3,16,20.95,0.01,20.95
10,HI (Hawaii),0,2,0.25,0.05,0.3
11,IA (Iowa),5,20,86.04,131.47,217.51
12,ID (Idaho),1,5,8.03,0.05,8.08
13,IL (Illinois),11,15,47.05,10.61,57.66
14,IN (Indiana),2,8,8.94,0.37,9.31
15,KS (Kansas),1,17,37.25,2.69,39.94
16,KY (Kentucky),13,4,13.37,1.1,14.47
17,LA (Louisiana),8,35,186.73,0.7,187.43
18,MA (Massachusetts),0,1,10.6,0.0,10.6
19,MD (Maryland),4,1,2.27,0.0,2.27
20,ME (Maine),1,0,0.42,0.0,0.42
21,MI (Michigan),3,5,203.16,0.19,203.35
22,MN (Minnesota),3,0,24.13,162.19,186.32
23,MO (Missouri),14,107,222.48,14.32,236.8
24,MS (Mississippi),8,44,68.6,2.92,71.51
25,MT (Montana),2,10,3.96,0.0,3.96
26,NC (North Carolina),16,10,149.25,4.77,154.02
27,ND (North Dakota),3,3,12.49,72.15,84.64
28,NE (Nebraska),5,7,640.54,27.66,668.2
29,NH (New Hampshire),0,0,2.98,0.0,2.98
30,NJ (New Jersey),0,2,0.93,0.0,0.93
31,NM (New Mexico),2,12,16.63,0.0,16.63
32,NV (Nevada),25,5,0.49,0.0,0.49
33,NY (New York),5,14,77.67,0.0,77.67
34,OH (Ohio),11,220,691.65,0.15,691.8
35,OK (Oklahoma),12,88,14.83,0.01,14.85
36,OR (Oregon),4,0,49.68,0.06,49.74
37,PA (Pennsylvania),6,67,31.53,0.18,31.7
38,RI (Rhode Island),0,0,0.14,0.0,0.14
39,SC (South Carolina),7,23,1.94,0.0,1.95
40,SD (South Dakota),6,14,124.37,926.65,1051.02
41,TN (Tennessee),7,6,122.67,0.0,122.67
42,TX (Texas),39,80,3092.76,7.77,3100.53
43,UT (Utah),3,0,0.29,0.0,0.29
44,VA (Virginia),6,18,7.15,9.71,16.86
45,VT (Vermont),2,0,9.24,0.0,9.24
46,WA (Washington),1,17,4.96,0.0,4.96
47,WI (Wisconsin),10,56,20.71,0.99,21.7
48,WV (West Virginia),2,3,8.28,3.0,11.28
49,WY (Wyoming),3,1,1.33,0.0,1.33
