,state,fatalities,injuries,property_damage,crop_damage,total_damage
0,AK (Alaska),4,2,0.2,0.0,0.2
1,AL (Alabama),7,32,4.31,0.0,4.31
2,AR (Arkansas),2,8,13.38,0.2,13.58
3,AZ (Arizona),11,36,6.33,4.6,10.93
4,CA (California),22,29,74.31,0.08,74.38
5,CO (Colorado),5,14,0.86,0.04,0.9
6,CT (Connecticut),0,4,1.75,0.0,1.75
7,DE (Delaware),0,18,0.04,0.0,0.04
8,FL (Florida),31,53,3116.31,0.01,3116.32
9,GA (Georgia),11,25,35.25,3.0,38.25
10,HI (Hawaii),3,2,0.0,0.0,0.0
11,IA (Iowa),2,14,35.25,5.35,40.6
12,ID (Idaho),1,0,1.14,0.0,1.14
13,IL (Illinois),9,31,23.55,0.72,24.27
14,IN (Indiana),5,79,15.36,0.06,15.42
15,KS (Kansas),5,23,73.57,6.33,79.89
16,KY (Kentucky),3,30,19.55,0.06,19.61
17,LA (Louisiana),21,103,9202.59,1.24,9203.83
18,MA (Massachusetts),4,4,7.02,0.0,7.02
19,MD (Maryland),4,21,24.45,0.0,24.45
20,ME (Maine),0,0,1.93,0.0,1.93
21,MI (Michigan),2,0,46.44,4.2,50.63
22,MN (Minnesota),9,14,16.97,1.99,18.95
23,MO (Missouri),7,122,14.75,0.05,14.8
24,MS (Mississippi),4,9,37.19,4.44,41.63
25,MT (Montana),3,8,5.01,0.0,5.01
26,NC (North Carolina),38,21,832.14,173.45,1005.58
27,ND (North Dakota),0,2,87.14,6.26,93.4
28,NE (Nebraska),0,1,32.42,21.32,53.74
29,NH (New Hampshire),1,1,0.27,0.0,0.27
30,NJ (New Jersey),4,39,3.89,0.0,3.89
31,NM (New Mexico),3,14,19.44,0.0,19.44
32,NV (Nevada),53,3,81.09,0.0,81.09
33,NY (New York),7,47,17.02,0.0,17.02
34,OH (Ohio),1,4,21.27,0.07,21.33
35,OK (Oklahoma),13,171,20.29,0.03,20.32
36,OR (Oregon),1,11,7.26,0.0,7.26
37,PA (Pennsylvania),6,9,60.83,0.49,61.32
38,RI (Rhode Island),0,1,0.9,0.0,0.9
39,SC (South Carolina),4,20,253.08,1.5,254.58
40,SD (South Dakota),1,7,10.55,0.0,10.55
41,TN (Tennessee),11,37,25.69,0.53,26.22
42,TX (Texas),54,29,3609.54,2.35,3611.89
43,UT (Utah),4,18,13.44,0.0,13.44
44,VA (Virginia),10,99,94.46,3.98,98.44
45,VT (Vermont),1,0,3.94,0.0,3.94
46,WA (Washington),5,6,8.43,0.0,8.43
47,WI (Wisconsin),20,33,37.28,0.67,37.95
48,WV (West Virginia),24,12,172.54,0.0,172.54
49,WY (Wyoming),6,4,3.1,0.0,3.1
