,state,fatalities,injuries,property_damage,crop_damage,total_damage
0,AK (Alaska),0,0,3.89,0.0,3.89
1,AL (Alabama),6,35,8.34,0.0,8.34
2,AR (Arkansas),3,12,19.82,0.04,19.86
3,AZ (Arizona),4,44,67.45,0.0,67.45
4,CA (California),128,318,19500.67,150.0,19650.67
5,CO (Colorado),13,9,669.22,0.21,669.43
6,CT (Connecticut),3,6,8.19,0.0,8.19
7,DE (Delaware),0,0,0.0,0.0,0.0
8,FL (Florida),43,51,9909.3,1500.0,11409.3
9,GA (Georgia),6,21,1545.98,2888.0,4433.99
10,HI (Hawaii),3,6,28.45,0.02,28.47
11,IA (Iowa),1,45,346.35,17.13,363.48
12,ID (Idaho),3,0,43.25,0.0,43.25
13,IL (Illinois),4,36,143.71,0.08,143.79
14,IN (Indiana),7,1,14.94,0.18,15.12
15,KS (Kansas),4,18,37.16,3.73,40.89
16,KY (Kentucky),10,18,30.16,0.03,30.19
17,LA (Louisiana),6,18,18.18,0.11,18.29
18,MA (Massachusetts),2,6,9.57,0.0,9.57
19,MD (Maryland),29,11,72.34,0.0,72.34
20,ME (Maine),0,0,7.66,0.0,7.66
21,MI (Michigan),7,3,201.52,0.02,201.54
22,MN (Minnesota),2,8,44.74,1.57,46.3
23,MO (Missouri),7,224,9.22,0.03,9.25
24,MS (Mississippi),1,13,28.4,0.31,28.71
25,MT (Montana),1,0,10.59,0.0,10.59
26,NC (North Carolina),28,14,2023.53,430.12,2453.65
27,ND (North Dakota),2,32,25.11,1.47,26.58
28,NE (Nebraska),1,2,21.8,101.91,123.71
29,NH (New Hampshire),2,9,3.45,0.0,3.45
30,NJ (New Jersey),3,7,4.14,0.0,4.14
31,NM (New Mexico),1,27,8.11,0.0,8.11
32,NV (Nevada),74,6,16.76,0.0,16.76
33,NY (New York),13,11,14.58,0.0,14.58
34,OH (Ohio),1,4,15.89,0.05,15.94
35,OK (Oklahoma),6,240,4.68,0.0,4.68
36,OR (Oregon),11,0,1.23,0.01,1.24
37,PA (Pennsylvania),5,16,30.65,0.38,31.03
38,RI (Rhode Island),2,0,1.15,0.0,1.15
39,SC (South Carolina),5,8,5.91,0.01,5.92
40,SD (South Dakota),1,2,5.18,0.01,5.18
41,TN (Tennessee),9,12,21.26,0.0,21.26
42,TX (Texas),32,37,321.98,0.54,322.52
43,UT (Utah),0,2,55.03,0.0,55.03
44,VA (Virginia),14,19,93.63,0.31,93.94
45,VT (Vermont),1,0,5.05,0.0,5.05
46,WA (Washington),2,0,141.83,0.0,141.83
47,WI (Wisconsin),12,11,181.95,4.22,186.17
48,WV (West Virginia),3,0,6.73,0.0,6.74
49,WY (Wyoming),2,5,10.2,0.0,10.2
