Location ID,Location,Value
CA-111,Ventura County,59.3
CA-113,Yolo County,63
CA-115,Yuba County,62.2
CO-001,Adams County,50.8
CO-003,Alamosa County,44.6
CO-005,Arapahoe County,50.3
CO-007,Archuleta County,45.4
CO-009,Baca County,54.3
CO-011,Bent County,54.7
CO-013,Boulder County,45.9
CO-014,Broomfield County,51.7
CO-015,Chaffee County,39.3
CO-017,Cheyenne County,52.2
CO-019,Clear Creek County,38.7
CO-021,Conejos County,42
CO-023,Costilla County,43.9
CO-025,Crowley County,53.2
CO-027,Custer County,43
CO-029,Delta County,48.4
CO-031,Denver County,51.8
CO-033,Dolores County,44.9
CO-035,Douglas County,47.9
CO-037,Eagle County,40.8
CO-039,Elbert County,48.8
CO-041,El Paso County,49.3
CO-043,Fremont County,46.6
CO-045,Garfield County,45
CO-047,Gilpin County,40.6
CO-049,Grand County,38.6
CO-051,Gunnison County,39.6
CO-053,Hinsdale County,37.9
CO-055,Huerfano County,48.6
CO-057,Jackson County,37.9
CO-059,Jefferson County,47.2
CO-061,Kiowa County,53.2
CO-063,Kit Carson County,52
CO-065,Lake County,35.8
CO-067,La Plata County,46.6
CO-069,Larimer County,43.4
CO-071,Las Animas County,52.5
CO-073,Lincoln County,50.9
CO-075,Logan County,50.6
CO-077,Mesa County,49.2
CO-079,Mineral County,38.5
CO-081,Moffat County,45.4
CO-083,Montezuma County,50.3
CO-085,Montrose County,49.3
CO-087,Morgan County,50.8
CO-089,Otero County,54.5
CO-091,Ouray County,43.3
CO-093,Park County,39.4
CO-095,Phillips County,50.7
CO-097,Pitkin County,39.3
CO-099,Prowers County,54.3
CO-101,Pueblo County,53.6
CO-103,Rio Blanco County,45.8
CO-105,Rio Grande County,41.7
CO-107,Routt County,41.2
CO-109,Saguache County,40.7
CO-111,San Juan County,37
CO-113,San Miguel County,46.5
CO-115,Sedgwick County,50.4
CO-117,Summit County,37.1
CO-119,Teller County,41.4
CO-121,Washington County,51
CO-123,Weld County,49.6
CO-125,Yuma County,51.9
CT-001,Fairfield County,52.3
CT-003,Hartford County,51
CT-005,Litchfield County,48.5
CT-007,Middlesex County,51.6
CT-009,New Haven County,51.7
CT-011,New London County,51.7
CT-013,Tolland County,50.2
CT-015,Windham County,50.4
DE-001,Kent County,57.2
DE-003,New Castle County,56.1
DE-005,Sussex County,58.3
FL-001,Alachua County,71
FL-003,Baker County,69.7
FL-005,Bay County,69.8
FL-007,Bradford County,70.5
FL-009,Brevard County,74
FL-011,Broward County,76.9
FL-013,Calhoun County,69.2
FL-015,Charlotte County,75.5
FL-017,Citrus County,72.5
FL-019,Clay County,71.2
FL-021,Collier County,76.3
FL-023,Columbia County,69.4
FL-027,DeSoto County,74.5
FL-029,Dixie County,70.5
FL-031,Duval County,71
FL-033,Escambia County,68.6
FL-035,Flagler County,72.4
FL-037,Franklin County,70
FL-039,Gadsden County,68.7
FL-041,Gilchrist County,70.5
FL-043,Glades County,75.1
FL-045,Gulf County,69.9
FL-047,Hamilton County,68.7
FL-049,Hardee County,74.3
FL-051,Hendry County,75.6
FL-053,Hernando County,73.2
FL-055,Highlands County,74.5
FL-057,Hillsborough County,74.5
FL-059,Holmes County,68.1
FL-061,Indian River County,74.4
FL-063,Jackson County,68.8
FL-065,Jefferson County,69.2
FL-067,Lafayette County,69.7
FL-069,Lake County,73.4
FL-071,Lee County,76.1
FL-073,Leon County,69.1
FL-075,Levy County,71.7
FL-077,Liberty County,69.4
FL-079,Madison County,69
FL-081,Manatee County,74.3
FL-083,Marion County,72.1
FL-085,Martin County,76.1
FL-086,Miami-Dade County,77.4
FL-087,Monroe County,77.9
FL-089,Nassau County,70.2
FL-091,Okaloosa County,68.3
FL-093,Okeechobee County,74.8
FL-095,Orange County,74.1
FL-097,Osceola County,74.4
FL-099,Palm Beach County,76.4
FL-101,Pasco County,73.7
FL-103,Pinellas County,74.9
FL-105,Polk County,74.4
FL-107,Putnam County,71.9
FL-109,St. Johns County,71.9
FL-111,St. Lucie County,75.2
FL-113,Santa Rosa County,68.1
FL-115,Sarasota County,74.5
FL-117,Seminole County,73.8
FL-119,Sumter County,72.9
FL-121,Suwannee County,69.3
FL-123,Taylor County,70.1
FL-125,Union County,70
FL-127,Volusia County,73.1
FL-129,Wakulla County,69.7
FL-131,Walton County,68.5
FL-133,Washington County,68.8
GA-001,Appling County,67.7
GA-003,Atkinson County,67.7
GA-005,Bacon County,67.8
GA-007,Baker County,67.8
GA-009,Baldwin County,65.4
GA-011,Banks County,62.1
GA-013,Barrow County,62.5
GA-015,Bartow County,61.6
GA-017,Ben Hill County,67.3
GA-019,Berrien County,67.2
GA-021,Bibb County,65.7
GA-023,Bleckley County,66.5
GA-025,Brantley County,68.6
GA-027,Brooks County,67.6
GA-029,Bryan County,68.2
GA-031,Bulloch County,67.2
GA-033,Burke County,66
GA-035,Butts County,64.4
GA-037,Calhoun County,67.4
GA-039,Camden County,69.5
GA-043,Candler County,67
GA-045,Carroll County,62.5
GA-047,Catoosa County,61.4
GA-049,Charlton County,69.4
GA-051,Chatham County,68.4
GA-053,Chattahoochee County,65.4
GA-055,Chattooga County,61.4
GA-057,Cherokee County,60.9
GA-059,Clarke County,63.1
GA-061,Clay County,66.9
GA-063,Clayton County,63.6
GA-065,Clinch County,68.3
GA-067,Cobb County,62.4
GA-069,Coffee County,67.5
GA-071,Colquitt County,67
GA-073,Columbia County,65.2
GA-075,Cook County,67.1
GA-077,Coweta County,63.7
GA-079,Crawford County,65.2
GA-081,Crisp County,67.2
GA-083,Dade County,60.2
GA-085,Dawson County,59.5
GA-087,Decatur County,68.3
GA-089,DeKalb County,63
GA-091,Dodge County,66.9
GA-093,Dooly County,66.8
GA-095,Dougherty County,67.7
GA-097,Douglas County,62.8
GA-099,Early County,67.7
GA-101,Echols County,68.2
GA-103,Effingham County,67.4
GA-105,Elbert County,63.1
GA-107,Emanuel County,66.4
GA-109,Evans County,67.6
GA-111,Fannin County,57.2
GA-113,Fayette County,63.8
GA-115,Floyd County,61.9
GA-117,Forsyth County,60.8
GA-119,Franklin County,62.2
GA-121,Fulton County,62.8
GA-123,Gilmer County,58
GA-125,Glascock County,64.7
GA-127,Glynn County,69.2
GA-129,Gordon County,61.3
GA-131,Grady County,67.9
GA-133,Greene County,64.1
GA-135,Gwinnett County,62.1
GA-137,Habersham County,60
GA-139,Hall County,61.2
GA-141,Hancock County,64.6
GA-143,Haralson County,61.8
GA-145,Harris County,64.1
GA-147,Hart County,62.4
