state,county,2016,2017,2018,2019,2020,2021
  Alaska,Ketchikan Gateway Borough,207.53,139946.98,218.98,291514.0,299760.0,304144.0
  Alaska,Kodiak Island Borough,207.53,136014.42,218.98,294404.0,291695.0,295961.0
  Alaska,Lake and Peninsula Borough,207.53,80409.5,218.98,128681.0,118808.0,120545.0
  Alaska,Matanuska-Susitna Borough,226.1,120371.05,228.83,260067.0,273553.0,274449.0
  Alaska,Nome Census Area,207.53,68502.3,218.98,160156.0,159858.0,162196.0
  Alaska,North Slope Borough,207.53,78249.69,218.98,153090.0,157687.0,159993.0
  Alaska,Northwest Arctic Borough,207.53,69055.88,218.98,140672.0,146209.0,148347.0
  Alaska,Sitka City and Borough,207.53,187631.77,218.98,373947.0,370797.0,376219.0
  Alaska,Southeast Fairbanks Census Area,207.53,109375.13,218.98,196983.0,176713.0,179297.0
  Alaska,Valdez-Cordova Census Area,207.53,111257.89,218.98,246015.0,229757.0,233117.0
  Alaska,Yakutat City and Borough,207.53,92040.16,218.98,181246.0,209181.0,212240.0
  Alaska,Yukon-Koyukuk Census Area,207.53,49284.07,218.98,83183.0,79102.0,80259.0
  Arizona,Apache County,188.8,32191.6,213.95,56441.0,80607.0,84115.0
  Arizona,Cochise County,188.8,80825.27,213.95,153459.0,166847.0,174109.0
  Arizona,Coconino County,232.09,131685.31,266.45,308890.0,342479.0,355757.0
  Arizona,Gila County,188.8,82462.05,213.95,170078.0,179632.0,187450.0
  Arizona,Graham County,188.8,75772.63,213.95,137055.0,150271.0,156811.0
  Arizona,Greenlee County,188.8,50854.62,213.95,88924.0,90791.0,94743.0
  Arizona,La Paz County,188.8,42507.72,213.95,83744.0,85807.0,89542.0
  Arizona,Maricopa County,239.44,132973.6,283.28,294674.0,322669.0,336517.0
  Arizona,Mohave County,194.61,79390.47,231.94,203346.0,205816.0,214526.0
  Arizona,Navajo County,188.8,66537.25,213.95,134465.0,160347.0,167326.0
  Arizona,Pima County,182.34,93715.03,208.74,209380.0,228332.0,237773.0
  Arizona,Pinal County,239.44,91193.53,283.28,213127.0,234419.0,244479.0
  Arizona,Santa Cruz County,188.8,84180.6,213.95,160257.0,163814.0,170944.0
  Arizona,Yuma County,169.68,63756.65,182.48,147375.0,152413.0,157468.0
  Arkansas,Arkansas County,173.0,40006.24,181.42,87229.0,92867.0,94010.0
  Arkansas,Ashley County,173.0,34778.48,181.42,74604.0,80080.0,81065.0
  Arkansas,Baxter County,173.0,63661.69,181.42,134391.0,139825.0,141545.0
  Arkansas,Benton County,173.86,93837.86,197.24,207816.0,219060.0,224554.0
  Arkansas,Boone County,173.0,59067.92,181.42,130322.0,130286.0,131889.0
