,County & State,FIPS,2017,2018,2019,2020,2021
683,"Whiteside County,  Illinois",17195,104746,104200,108395,109364,113344
684,"Will County,  Illinois",17197,228094,239586,252441,256939,267128
685,"Williamson County,  Illinois",17199,100174,129078,127055,121356,125773
686,"Winnebago County,  Illinois",17201,122713,123578,126961,131777,138245
687,"Woodford County,  Illinois",17203,163653,158904,165587,173046,178522
688,"Adams County,  Indiana",18001,128036,125642,129121,135780,144001
689,"Allen County,  Indiana",18003,133129,142169,138042,152107,161811
690,"Bartholomew County,  Indiana",18005,144257,156190,166033,184154,194403
691,"Benton County,  Indiana",18007,103749,89639,94005,108978,115254
692,"Blackford County,  Indiana",18009,73930,72384,75215,74138,78627
693,"Boone County,  Indiana",18011,214856,238118,259734,274172,290510
694,"Brown County,  Indiana",18013,185879,187829,197266,203716,215856
695,"Carroll County,  Indiana",18015,147716,131027,140740,155161,164097
696,"Cass County,  Indiana",18017,90250,88868,90195,93775,99453
697,"Clark County,  Indiana",18019,150428,144648,161066,172607,181516
698,"Clay County,  Indiana",18021,102546,102354,110174,105332,110270
699,"Clinton County,  Indiana",18023,107445,109580,109711,117088,124177
700,"Crawford County,  Indiana",18025,94521,91616,94626,96506,102349
701,"Daviess County,  Indiana",18027,120698,121943,128172,136516,144781
702,"Dearborn County,  Indiana",18029,179403,170337,173580,180088,190045
703,"Decatur County,  Indiana",18031,126064,128706,131548,141136,149681
704,"DeKalb County,  Indiana",18033,120588,120041,124585,130530,138433
705,"Delaware County,  Indiana",18035,97822,96091,102430,107585,114805
706,"Dubois County,  Indiana",18037,150817,154278,157710,164344,174294
707,"Elkhart County,  Indiana",18039,146717,152543,157922,172807,181742
708,"Fayette County,  Indiana",18041,89702,86015,86925,86005,91212
709,"Floyd County,  Indiana",18043,174934,179967,181902,197521,207715
710,"Fountain County,  Indiana",18045,95835,98801,100111,108162,114711
711,"Franklin County,  Indiana",18047,166436,161227,159413,169308,178669
712,"Fulton County,  Indiana",18049,104488,98907,102538,108792,115379
713,"Gibson County,  Indiana",18051,111514,109993,113705,121715,129285
714,"Grant County,  Indiana",18053,89064,105247,89140,105537,111927
715,"Greene County,  Indiana",18055,102577,103114,103027,101137,108584
716,"Hamilton County,  Indiana",18057,253459,286365,297066,309772,328231
717,"Hancock County,  Indiana",18059,166497,172463,188357,215831,228692
718,"Harrison County,  Indiana",18061,149641,143805,149501,159677,167919
719,"Hendricks County,  Indiana",18063,182425,200616,211159,233153,247046
720,"Henry County,  Indiana",18065,100325,100175,101483,105432,111816
721,"Howard County,  Indiana",18067,110685,105817,134461,113097,118860
722,"Huntington County,  Indiana",18069,109417,108523,110766,112572,119388
723,"Jackson County,  Indiana",18071,122889,121097,123108,131580,139547
724,"Jasper County,  Indiana",18073,168973,159377,164586,163089,169556
725,"Jay County,  Indiana",18075,86964,89819,90090,95981,101792
726,"Jefferson County,  Indiana",18077,122778,126804,130493,139561,148011
727,"Jennings County,  Indiana",18079,104488,105564,109606,115303,122284
728,"Johnson County,  Indiana",18081,159716,176976,189524,197128,208875
729,"Knox County,  Indiana",18083,92768,92144,93571,101651,107806
730,"Kosciusko County,  Indiana",18085,148022,163683,153490,179780,190666
731,"LaGrange County,  Indiana",18087,177651,182281,189040,205718,218174
732,"Lake County,  Indiana",18089,148256,153135,160115,166561,173166
733,"LaPorte County,  Indiana",18091,130048,138102,141525,151581,159545
734,"Lawrence County,  Indiana",18093,110073,115392,122053,123284,130749
735,"Marion County,  Indiana",18097,131734,147641,151343,165035,174869
736,"Marshall County,  Indiana",18099,134827,137477,141886,145651,154470
737,"Martin County,  Indiana",18101,100545,103451,117201,122969,130414
738,"Miami County,  Indiana",18103,93645,90347,91988,93145,98785
739,"Monroe County,  Indiana",18105,175975,184725,199156,206833,222065
740,"Montgomery County,  Indiana",18107,121135,125113,127117,132000,139992
741,"Morgan County,  Indiana",18109,168864,175794,167994,181825,192660
742,"Newton County,  Indiana",18111,129207,117036,119878,120912,125707
743,"Noble County,  Indiana",18113,123765,120992,124585,132105,140103
744,"Ohio County,  Indiana",18115,158993,150845,155425,159796,168631
745,"Orange County,  Indiana",18117,97916,95526,97263,99446,105467
746,"Owen County,  Indiana",18119,124906,118490,122317,121861,130836
747,"Parke County,  Indiana",18121,96602,91616,96314,93356,99008
748,"Perry County,  Indiana",18123,110402,108840,114775,117088,124177
749,"Pike County,  Indiana",18125,96820,94363,102010,98081,104020
750,"Porter County,  Indiana",18127,186468,197453,197025,211290,219669
751,"Posey County,  Indiana",18129,144861,144438,145353,151174,160576
752,"Pulaski County,  Indiana",18131,101859,97850,104120,107847,114377
753,"Putnam County,  Indiana",18133,140641,129267,128647,136874,145030
754,"Randolph County,  Indiana",18135,85649,84007,83971,85269,90432
755,"Ripley County,  Indiana",18137,142165,147410,158026,159723,169394
756,"Rush County,  Indiana",18139,110293,105670,110027,118243,125402
757,"St. Joseph County,  Indiana",18141,133491,136098,144618,145633,153737
758,"Scott County,  Indiana",18143,108102,104402,105069,108162,114711
759,"Shelby County,  Indiana",18145,138350,134639,137980,141549,149984
760,"Spencer County,  Indiana",18147,127160,124585,127645,134100,142219
761,"Starke County,  Indiana",18149,106131,107360,113931,121289,128632
762,"Steuben County,  Indiana",18151,141070,144028,148321,156257,165719
763,"Sullivan County,  Indiana",18153,84412,86254,92352,89334,93523
764,"Switzerland County,  Indiana",18155,130446,120781,116884,122233,129635
765,"Tippecanoe County,  Indiana",18157,169238,158161,169615,188856,199733
766,"Tipton County,  Indiana",18159,129358,118494,116190,119484,125571
767,"Union County,  Indiana",18161,112264,116131,118256,122129,129523
768,"Vanderburgh County,  Indiana",18163,123141,137049,143600,143102,152002
769,"Vermillion County,  Indiana",18165,80957,79537,83603,82790,86672
770,"Vigo County,  Indiana",18167,91623,100115,106070,121225,126908
771,"Wabash County,  Indiana",18169,104159,102182,102538,105537,111927
772,"Warren County,  Indiana",18171,117412,118879,121737,128219,135983
773,"Warrick County,  Indiana",18173,160668,164522,167722,176335,187302
774,"Washington County,  Indiana",18175,119087,111965,117934,124147,130554
775,"Wayne County,  Indiana",18177,107424,111904,97052,107217,113709
776,"Wells County,  Indiana",18179,130596,129244,125844,135916,144587
777,"White County,  Indiana",18181,115550,111799,116357,119188,126405
778,"Whitley County,  Indiana",18183,147828,140567,144611,152427,162151
779,"Adair County,  Iowa",19001,99955,96917,104143,107577,112115
780,"Adams County,  Iowa",19003,97947,88285,89578,89990,93786
781,"Allamakee County,  Iowa",19005,123717,127697,129945,134111,139768
782,"Appanoose County,  Iowa",19007,87237,81110,81151,83716,87248
783,"Audubon County,  Iowa",19009,72512,71543,73972,81762,85212
784,"Benton County,  Iowa",19011,149550,152365,162020,161847,169262
785,"Black Hawk County,  Iowa",19013,141804,159311,145806,163083,167867
786,"Boone County,  Iowa",19015,133423,135704,137228,136476,142233
787,"Bremer County,  Iowa",19017,158965,161182,164247,170169,175160
788,"Buchanan County,  Iowa",19019,141232,137784,143574,146555,152738
789,"Buena Vista County,  Iowa",19021,115908,115530,117252,118890,123905
790,"Butler County,  Iowa",19023,119813,116570,120477,120021,125084
791,"Calhoun County,  Iowa",19025,84895,80902,83231,84334,87891
792,"Carroll County,  Iowa",19027,126283,132481,138060,142853,148879
793,"Cass County,  Iowa",19029,99844,97332,101750,105006,109435
794,"Cedar County,  Iowa",19031,150268,149535,156787,160440,167207
795,"Cerro Gordo County,  Iowa",19033,128515,126345,129425,132260,137839
796,"Cherokee County,  Iowa",19035,93931,92757,99045,109736,114366
797,"Chickasaw County,  Iowa",19037,115351,109291,116524,122489,127656
798,"Clarke County,  Iowa",19039,101740,109187,108929,113439,118224
799,"Clay County,  Iowa",19041,123271,120314,125471,127632,133016
800,"Clayton County,  Iowa",19043,119032,121146,125888,125163,130443
801,"Clinton County,  Iowa",19045,122825,116882,119541,121461,126585
802,"Crawford County,  Iowa",19047,100625,97125,94364,96058,100110
803,"Dallas County,  Iowa",19049,223233,254962,277011,290534,303154
804,"Davis County,  Iowa",19051,111446,113451,118605,118272,123262
805,"Decatur County,  Iowa",19053,90919,79342,79902,85567,89177
806,"Delaware County,  Iowa",19055,137550,131025,139621,139973,145878
807,"Des Moines County,  Iowa",19057,109549,105444,107785,111588,116295
808,"Dickinson County,  Iowa",19059,187194,182915,186542,199830,208259
809,"Dubuque County,  Iowa",19061,169296,174220,173828,175576,180591
810,"Emmet County,  Iowa",19063,93820,89117,89890,91841,95716
811,"Fayette County,  Iowa",19065,98394,94421,98629,107063,111579
812,"Floyd County,  Iowa",19067,109549,106483,108929,109222,113830
813,"Franklin County,  Iowa",19069,95828,90573,92075,96778,100860
814,"Fremont County,  Iowa",19071,111669,104196,106848,112410,117152
815,"Greene County,  Iowa",19073,95159,92445,98109,97395,101503
816,"Grundy County,  Iowa",19075,131806,134994,132937,133712,137633
817,"Guthrie County,  Iowa",19077,119155,117997,119086,120613,125852
818,"Hamilton County,  Iowa",19079,104418,102844,105704,109120,113722
819,"Hancock County,  Iowa",19081,102187,101492,107056,105109,109542
820,"Hardin County,  Iowa",19083,98951,94941,96652,96984,101075
821,"Harrison County,  Iowa",19085,123242,114701,121623,126123,133449
822,"Henry County,  Iowa",19087,115908,112203,113091,118787,123798
823,"Howard County,  Iowa",19089,105534,111995,111946,110148,114794
824,"Humboldt County,  Iowa",19091,100179,97645,106432,106754,111257
825,"Ida County,  Iowa",19093,89581,95565,100086,103771,108149
826,"Iowa County,  Iowa",19095,154731,149638,152314,156840,163456
827,"Jackson County,  Iowa",19097,127511,121666,128489,131849,137410
828,"Jasper County,  Iowa",19099,131303,127697,133170,138019,143842
829,"Jefferson County,  Iowa",19101,112674,118858,113819,121667,126799
830,"Johnson County,  Iowa",19103,205922,235233,242164,260272,267266
831,"Jones County,  Iowa",19105,137529,134736,136557,142491,149020
832,"Keokuk County,  Iowa",19107,86011,87037,92387,92973,96895
833,"Kossuth County,  Iowa",19109,102968,108459,107785,105006,109435
834,"Lee County,  Iowa",19111,95270,93797,97069,97189,101289
835,"Linn County,  Iowa",19113,154932,162467,161404,171525,179384
836,"Louisa County,  Iowa",19115,111446,108355,112883,111896,116616
837,"Lucas County,  Iowa",19117,91923,88285,91138,99143,103325
838,"Lyon County,  Iowa",19119,123941,130193,137748,151080,157454
839,"Madison County,  Iowa",19121,184077,168088,171077,181584,189471
840,"Mahaska County,  Iowa",19123,118474,114491,118605,118581,123584
841,"Marion County,  Iowa",19125,153169,152758,158556,161776,168601
842,"Marshall County,  Iowa",19127,116577,108771,109761,109017,113615
843,"Mills County,  Iowa",19129,177334,167361,174411,176635,186895
844,"Mitchell County,  Iowa",19131,121263,116778,119021,122798,127978
845,"Monona County,  Iowa",19133,88577,87662,90202,89373,93143
846,"Monroe County,  Iowa",19135,107429,103052,96236,103052,107399
847,"Montgomery County,  Iowa",19137,87796,85062,86769,88139,91857
848,"Muscatine County,  Iowa",19139,141567,133209,132234,134214,139875
849,"O'Brien County,  Iowa",19141,114569,112307,115900,110045,114687
850,"Osceola County,  Iowa",19143,93261,93069,95612,96367,100432
851,"Page County,  Iowa",19145,92035,91093,95092,97087,101182
852,"Palo Alto County,  Iowa",19147,95159,102012,104039,105109,109542
853,"Plymouth County,  Iowa",19149,154284,156190,162197,168153,175246
854,"Pocahontas County,  Iowa",19151,72178,76327,78446,78163,81460
855,"Polk County,  Iowa",19153,173420,189361,194401,202965,211781
856,"Pottawattamie County,  Iowa",19155,149110,150838,149601,151850,160670
857,"Poweshiek County,  Iowa",19157,143574,136328,145863,145115,151237
858,"Ringgold County,  Iowa",19159,86568,82774,92699,101509,105791
859,"Sac County,  Iowa",19161,90584,91613,94156,98526,102682
860,"Scott County,  Iowa",19163,162225,161640,177600,179410,185766
861,"Shelby County,  Iowa",19165,121375,116155,121726,124649,129907
862,"Sioux County,  Iowa",19167,157185,159933,165839,172267,179534
863,"Story County,  Iowa",19169,191741,205378,201316,203552,212153
864,"Tama County,  Iowa",19171,114904,109499,112154,113542,118331
865,"Taylor County,  Iowa",19173,78536,79134,82711,82894,86391
866,"Union County,  Iowa",19175,97278,98060,103831,106960,111472
867,"Van Buren County,  Iowa",19177,85118,85998,94572,95441,99467
868,"Wapello County,  Iowa",19179,89692,84230,85312,84437,87998
869,"Warren County,  Iowa",19181,183732,179615,181455,191507,199825
870,"Washington County,  Iowa",19183,134148,145877,152390,153829,157963
871,"Wayne County,  Iowa",19185,78759,77679,80734,83408,86926
872,"Webster County,  Iowa",19187,95828,99100,100502,101920,106220
873,"Winnebago County,  Iowa",19189,104975,98164,97901,97498,101611
874,"Winneshiek County,  Iowa",19191,176038,167941,174578,182346,190038
875,"Woodbury County,  Iowa",19193,125188,129095,132715,135223,140246
876,"Worth County,  Iowa",19195,107541,101908,108513,109736,114366
877,"Wright County,  Iowa",19197,81883,82358,88746,87933,91642
878,"Allen County,  Kansas",20001,75653,80477,83605,81807,85559
879,"Anderson County,  Kansas",20003,100279,90306,99221,98725,103253
880,"Atchison County,  Kansas",20005,97728,95118,107932,113890,119114
881,"Barber County,  Kansas",20007,86635,77405,70538,74586,78006
882,"Barton County,  Kansas",20009,90073,89691,98052,96249,100664
883,"Bourbon County,  Kansas",20011,90296,84572,88491,85314,89228
884,"Brown County,  Kansas",20013,93845,85903,94228,91298,95485
885,"Butler County,  Kansas",20015,150543,159924,157364,166865,176469
886,"Chase County,  Kansas",20017,84970,87234,102195,106875,111777
887,"Chautauqua County,  Kansas",20019,53800,64811,66395,51065,53407
888,"Cherokee County,  Kansas",20021,80423,80272,85304,85108,89012
889,"Cheyenne County,  Kansas",20023,91849,88668,89235,81188,84912
890,"Clark County,  Kansas",20025,68997,78224,82542,78300,81891
891,"Clay County,  Kansas",20027,107045,102592,103364,101098,105735
892,"Cloud County,  Kansas",20029,76540,74948,78506,78196,81783
893,"Coffey County,  Kansas",20031,113147,113651,125035,122865,128500
894,"Comanche County,  Kansas",20033,68553,74948,83711,72523,75849
895,"Cowley County,  Kansas",20035,92292,87746,92741,91814,96025
896,"Crawford County,  Kansas",20037,95287,89385,96671,96868,101311
897,"Decatur County,  Kansas",20039,62008,64914,68732,70046,73259
898,"Dickinson County,  Kansas",20041,120024,113343,116324,118326,123753
899,"Doniphan County,  Kansas",20043,90871,103473,111998,102852,108381
900,"Douglas County,  Kansas",20045,193504,222337,218776,218291,230991
901,"Edwards County,  Kansas",20047,62563,62661,64377,63341,66246
902,"Elk County,  Kansas",20049,54576,49453,53541,56429,59017
903,"Ellis County,  Kansas",20051,166614,163207,174752,174446,182447
904,"Ellsworth County,  Kansas",20053,90296,90613,100071,102543,107246
905,"Finney County,  Kansas",20055,129786,129213,149256,157321,164537
906,"Ford County,  Kansas",20057,110373,110988,116749,116057,121380
907,"Franklin County,  Kansas",20059,144907,130939,132148,135862,144380
908,"Geary County,  Kansas",20061,147196,145154,146246,153271,157125
909,"Gove County,  Kansas",20063,84638,80784,85623,92433,96672
910,"Graham County,  Kansas",20065,76097,71262,74469,74792,78223
911,"Grant County,  Kansas",20067,110263,105255,115793,119770,125264
912,"Gray County,  Kansas",20069,119690,120715,139483,139784,146195
913,"Greeley County,  Kansas",20071,93734,88156,104001,114715,119977
914,"Greenwood County,  Kansas",20073,63450,62558,67457,68809,71964
915,"Hamilton County,  Kansas",20075,96064,88873,89872,84386,88256
916,"Harper County,  Kansas",20077,74210,68292,76806,76649,80165
917,"Harvey County,  Kansas",20079,126849,125312,130712,134883,142646
918,"Haskell County,  Kansas",20081,128677,105050,111225,110383,115446
919,"Hodgeman County,  Kansas",20083,91959,88770,86792,87481,91493
920,"Jackson County,  Kansas",20085,128904,133582,139677,140168,149189
921,"Jefferson County,  Kansas",20087,137218,141611,152854,156713,166799
922,"Jewell County,  Kansas",20089,58902,54982,56091,57873,60528
923,"Johnson County,  Kansas",20091,255339,274575,291757,307919,327224
924,"Kearny County,  Kansas",20093,104383,100545,116324,120389,125911
925,"Kingman County,  Kansas",20095,97616,94401,100071,94392,98722
926,"Kiowa County,  Kansas",20097,134555,136995,127372,117501,122890
927,"Labette County,  Kansas",20099,77871,76688,83711,78815,82430
928,"Lane County,  Kansas",20101,73433,78224,81480,93670,97967
929,"Leavenworth County,  Kansas",20103,188546,191083,206219,221307,235182
930,"Lincoln County,  Kansas",20105,74210,70545,77762,74998,78438
931,"Linn County,  Kansas",20107,106469,96187,105003,116863,124190
932,"Logan County,  Kansas",20109,87855,85084,92634,89338,93435
933,"Lyon County,  Kansas",20111,103606,100852,110588,110177,115230
934,"McPherson County,  Kansas",20113,147423,143650,155736,156599,163782
935,"Marion County,  Kansas",20115,90516,83241,92210,93670,97967
936,"Marshall County,  Kansas",20117,96174,95630,100814,102026,106706
937,"Meade County,  Kansas",20119,95952,90818,98477,99860,104440
938,"Miami County,  Kansas",20121,197375,194849,201063,213771,227174
939,"Mitchell County,  Kansas",20123,98726,87746,90616,91711,95917
940,"Montgomery County,  Kansas",20125,78315,75767,79674,78609,82214
941,"Morris County,  Kansas",20127,94511,97371,107507,106256,111130
942,"Morton County,  Kansas",20129,110263,100033,100602,91298,95485
943,"Nemaha County,  Kansas",20131,121910,119282,131197,134625,140800
944,"Neosho County,  Kansas",20133,77428,79146,86261,84592,88472
945,"Ness County,  Kansas",20135,74432,72183,77974,75617,79086
946,"Norton County,  Kansas",20137,80866,75459,79780,85521,89443
947,"Osage County,  Kansas",20139,106124,111787,116696,120397,128146
948,"Osborne County,  Kansas",20141,63672,62763,72769,71181,74446
949,"Ottawa County,  Kansas",20143,102719,100954,104957,109042,114043
950,"Pawnee County,  Kansas",20145,85858,77405,79993,85005,88904
951,"Phillips County,  Kansas",20147,80644,78736,84986,82116,85883
952,"Pottawatomie County,  Kansas",20149,173930,173182,186355,188601,193343
953,"Pratt County,  Kansas",20151,95287,89691,99008,94805,99153
954,"Rawlins County,  Kansas",20153,83861,83651,100921,104812,109619
955,"Reno County,  Kansas",20155,104383,98907,104214,104502,109295
956,"Republic County,  Kansas",20157,54243,61944,66714,68087,71209
957,"Rice County,  Kansas",20159,83529,76586,79355,77061,80596
958,"Riley County,  Kansas",20161,193360,205507,222351,212705,218053
959,"Rooks County,  Kansas",20163,75320,77200,82861,81291,85020
960,"Rush County,  Kansas",20165,68886,71569,76806,73038,76388
961,"Russell County,  Kansas",20167,89852,92251,94865,96353,100772
962,"Saline County,  Kansas",20169,135554,128394,136508,141125,147598
963,"Scott County,  Kansas",20171,139769,139145,142564,140506,146950
964,"Sedgwick County,  Kansas",20173,137136,147622,156833,165367,174885
965,"Seward County,  Kansas",20175,96618,100852,104320,108629,113612
966,"Shawnee County,  Kansas",20177,136734,136710,143367,139856,148857
967,"Sheridan County,  Kansas",20179,101388,103412,113562,117501,122890
968,"Sherman County,  Kansas",20181,85414,88361,98477,114922,120193
969,"Smith County,  Kansas",20183,70993,67780,71069,72419,75741
970,"Stafford County,  Kansas",20185,72214,63275,66076,67983,71102
971,"Stanton County,  Kansas",20187,81865,73617,84667,95527,99909
972,"Stevens County,  Kansas",20189,106934,112627,118874,118533,123969
973,"Sumner County,  Kansas",20191,91905,90491,92804,96054,101583
974,"Thomas County,  Kansas",20193,116586,116722,128328,133800,139937
975,"Trego County,  Kansas",20195,96396,86415,95715,102439,107138
976,"Wabaunsee County,  Kansas",20197,124478,116689,136093,152655,162480
977,"Wallace County,  Kansas",20199,84638,90408,105489,92226,96456
978,"Washington County,  Kansas",20201,76317,77098,83074,84592,88472
979,"Wichita County,  Kansas",20203,78315,86006,94440,91711,95917
980,"Wilson County,  Kansas",20205,66668,68292,71600,75824,79301
981,"Woodson County,  Kansas",20207,53578,54470,63527,75927,79409
982,"Wyandotte County,  Kansas",20209,98751,116629,112789,111131,118098
983,"Adair County,  Kentucky",21001,88321,89840,94723,100637,106156
984,"Allen County,  Kentucky",21003,102361,107201,118721,125900,132805
985,"Anderson County,  Kentucky",21005,146629,144957,150330,156384,164960
986,"Ballard County,  Kentucky",21007,109115,107306,105506,107423,113314
987,"Barren County,  Kentucky",21009,113402,115463,123161,130911,138091
988,"Bath County,  Kentucky",21011,78781,81472,93243,93642,98778
989,"Bell County,  Kentucky",21013,64740,62124,63325,62428,65852
990,"Boyd County,  Kentucky",21019,104362,105351,117872,115834,119390
991,"Greenup County,  Kentucky",21089,102269,104743,116907,121563,125295
992,"Boyle County,  Kentucky",21021,142020,147571,150224,152834,161216
993,"Breathitt County,  Kentucky",21025,50912,52292,53704,56373,59465
994,"Breckinridge County,  Kentucky",21027,94323,99566,105295,107423,113314
995,"Butler County,  Kentucky",21031,97324,94546,95251,96147,101421
996,"Caldwell County,  Kentucky",21033,103648,99671,94194,91763,96796
997,"Calloway County,  Kentucky",21035,128515,136067,145044,143334,151195
998,"Carlisle County,  Kentucky",21039,82747,93291,98846,93225,98337
999,"Carroll County,  Kentucky",21041,106328,108561,117558,120994,127629
1000,"Carter County,  Kentucky",21043,82640,87120,93454,99175,104614
1001,"Casey County,  Kentucky",21045,81996,81159,85314,91450,96465
1002,"Clay County,  Kentucky",21051,60345,58150,61633,56478,59575
1003,"Clinton County,  Kentucky",21053,69992,69131,69139,76000,80167
1004,"Crittenden County,  Kentucky",21055,81461,88480,94934,93851,98998
1005,"Cumberland County,  Kentucky",21057,68062,94441,96626,93329,98447
1006,"Elliott County,  Kentucky",21063,70849,76034,79711,86334,91069
1007,"Estill County,  Kentucky",21065,76531,74256,79605,80175,84572
1008,"Fleming County,  Kentucky",21069,92930,94023,97577,93851,98998
1009,"Floyd County,  Kentucky",21071,75672,76243,76857,77669,81929
1010,"Franklin County,  Kentucky",21073,147380,145689,150224,149180,157362
1011,"Fulton County,  Kentucky",21075,65382,66516,66708,69005,72790
1012,"Garrard County,  Kentucky",21079,137733,137008,147053,146675,154719
1013,"Graves County,  Kentucky",21083,99575,99984,104449,108884,114856
1014,"Grayson County,  Kentucky",21085,102361,106887,113118,118906,125427
1015,"Green County,  Kentucky",21087,79531,79276,81931,82994,87545
1016,"Harlan County,  Kentucky",21095,55736,55953,61845,62950,66402
1017,"Harrison County,  Kentucky",21097,121120,138995,145044,146153,154168
1018,"Hart County,  Kentucky",21099,89607,94337,97789,98549,103954
1019,"Hickman County,  Kentucky",21105,73315,73419,83622,84142,88757
1020,"Hopkins County,  Kentucky",21107,95931,101030,111955,113477,119701
1021,"Jackson County,  Kentucky",21109,70635,73106,82671,91032,96025
1022,"Johnson County,  Kentucky",21115,84890,94441,101806,105752,111552
1023,"Knott County,  Kentucky",21119,62060,54385,54127,53763,56712
1024,"Knox County,  Kentucky",21121,84033,80427,87111,90615,95584
1025,"Laurel County,  Kentucky",21125,101182,106678,113646,116922,123335
1026,"Lawrence County,  Kentucky",21127,87248,84087,87005,82889,87435
1027,"Lee County,  Kentucky",21129,72564,67144,68716,65768,69376
1028,"Leslie County,  Kentucky",21131,48769,51143,65545,66917,70587
1029,"Letcher County,  Kentucky",21133,60345,61183,61845,61175,64530
1030,"Lewis County,  Kentucky",21135,71921,71432,71254,68379,72129
1031,"Lincoln County,  Kentucky",21137,100325,100507,106246,111076,117168
1032,"Livingston County,  Kentucky",21139,93144,94964,110898,106900,112763
1033,"Logan County,  Kentucky",21141,101397,110234,115126,115878,122233
1034,"Lyon County,  Kentucky",21143,151131,128537,141767,147719,155820
1035,"McCracken County,  Kentucky",21145,148993,155206,156356,147510,155600
1036,"McCreary County,  Kentucky",21147,66776,64111,68082,72763,76754
1037,"Madison County,  Kentucky",21151,155462,167025,171051,184153,194252
1038,"Magoffin County,  Kentucky",21153,56916,66203,76434,69736,73560
1039,"Marion County,  Kentucky",21155,105255,105005,108995,110032,116067
1040,"Marshall County,  Kentucky",21157,119619,123516,130032,136862,144368
1041,"Martin County,  Kentucky",21159,73100,68504,71359,88005,92831
1042,"Mason County,  Kentucky",21161,108364,116300,126332,138636,146240
1043,"Menifee County,  Kentucky",21165,83712,81368,83094,80175,84572
1044,"Mercer County,  Kentucky",21167,143200,146316,152445,153774,162207
1045,"Metcalfe County,  Kentucky",21169,88535,78649,82777,80593,85013
1046,"Monroe County,  Kentucky",21171,75672,77916,78865,84038,88647
1047,"Montgomery County,  Kentucky",21173,122191,123621,123901,121829,128510
1048,"Morgan County,  Kentucky",21175,80925,81054,79288,76313,80498
1049,"Muhlenberg County,  Kentucky",21177,83389,85760,90600,98027,103403
1050,"Nicholas County,  Kentucky",21181,89928,85865,89437,89362,94263
1051,"Ohio County,  Kentucky",21183,89714,92350,96520,96565,101861
1052,"Owen County,  Kentucky",21187,105041,103645,105083,121202,127850
1053,"Owsley County,  Kentucky",21189,74815,73210,76011,73285,77304
1054,"Perry County,  Kentucky",21193,76316,76662,78019,78713,83031
1055,"Pike County,  Kentucky",21195,76583,78858,82882,82054,86554
1056,"Powell County,  Kentucky",21197,82104,83460,84151,93746,98888
1057,"Pulaski County,  Kentucky",21199,114473,114104,116818,121307,127960
1058,"Robertson County,  Kentucky",21201,111472,98834,105823,119741,126308
1059,"Rockcastle County,  Kentucky",21203,79210,84505,85420,85499,90188
1060,"Rowan County,  Kentucky",21205,123585,126654,132992,129658,136770
1061,"Russell County,  Kentucky",21207,94323,91304,90600,99175,104614
1062,"Simpson County,  Kentucky",21213,125193,136485,139124,141142,148883
1063,"Taylor County,  Kentucky",21217,100433,111593,123901,125482,132364
1064,"Todd County,  Kentucky",21219,93572,99148,108783,110972,117058
1065,"Union County,  Kentucky",21225,90142,86911,91446,96147,101421
1066,"Washington County,  Kentucky",21229,105149,110443,120201,133939,141284
1067,"Wayne County,  Kentucky",21231,86069,85133,85843,92702,97787
1068,"Whitley County,  Kentucky",21235,83497,87643,92714,96565,101861
1069,"Wolfe County,  Kentucky",21237,56486,68713,67236,67230,70917
1070,"Hardin County,  Kentucky",21093,155662,157891,171810,164974,175693
1071,"Larue County,  Kentucky",21123,119223,112048,113589,120550,128382
1072,"Henderson County,  Kentucky",21101,114221,122793,131127,134610,142982
1073,"Webster County,  Kentucky",21233,80767,84082,83810,79256,84185
1074,"Edmonson County,  Kentucky",21061,99778,90915,95241,89870,94249
1075,"Warren County,  Kentucky",21227,154537,173897,189119,199198,208902
1076,"Bullitt County,  Kentucky",21029,161040,173536,180860,198572,208820
1077,"Henry County,  Kentucky",21103,140382,132945,134395,135289,142272
1078,"Jefferson County,  Kentucky",21111,170339,183867,190133,195208,205283
1079,"Meade County,  Kentucky",21163,145938,148443,157003,161359,169687
1080,"Nelson County,  Kentucky",21179,154617,152660,155752,162621,171014
1081,"Oldham County,  Kentucky",21185,286437,303424,316922,315991,332300
1082,"Shelby County,  Kentucky",21211,203340,194937,195029,207402,218106
1083,"Spencer County,  Kentucky",21215,204730,201263,209719,224221,235794
1084,"Trimble County,  Kentucky",21223,129620,116498,123039,130349,137076
1085,"Boone County,  Kentucky",21015,200031,202858,205484,199956,211012
1086,"Bracken County,  Kentucky",21023,108025,108367,107045,108962,114986
1087,"Campbell County,  Kentucky",21037,176764,191205,186279,188225,198632
1088,"Gallatin County,  Kentucky",21077,121218,116418,117434,135383,142868
1089,"Grant County,  Kentucky",21081,140839,126799,135380,137602,145210
1090,"Kenton County,  Kentucky",21117,159421,168642,170327,186746,197071
1091,"Pendleton County,  Kentucky",21191,118174,112710,110088,123018,129819
1092,"Bourbon County,  Kentucky",21017,157847,153237,149407,152802,161398
1093,"Clark County,  Kentucky",21049,161352,147209,148986,151447,159968
1094,"Fayette County,  Kentucky",21067,185011,204211,203383,220193,232581
1095,"Jessamine County,  Kentucky",21113,181365,173753,176868,179258,189343
1096,"Scott County,  Kentucky",21209,186114,180627,187706,197382,208487
1097,"Woodford County,  Kentucky",21239,204997,199028,206960,211443,223339
1098,"Daviess County,  Kentucky",21059,126122,142218,150815,150704,158767
1099,"Hancock County,  Kentucky",21091,117807,113921,116736,118765,125120
