"2018 Summary of Hazardous Weather Fatalities, Injuries, and Damage Costs by State",,,,,
State,Fatalities,Injuries,Property,Crop,Total
,,,Damage,Damage,Damage
,,,(million $),(million $),(million $)
AK (Alaska),0,0,3.89,0,3.89
AL (Alabama),6,35,8.34,0,8.34
AM (Atlantic South),0,0,0,0,0
AN (Atlantic North),2,2,0,0,0
AR (Arkansas),3,12,19.82,0.04,19.86
AS (American Samoa),0,0,50.14,2.01,52.15
AZ (Arizona),4,44,67.45,0,67.45
CA (California),128,318,19500.67,150,19650.67
CO (Colorado),13,9,669.22,0.21,669.43
CT (Connecticut),3,6,8.19,0,8.19
DC (District of Columbia),0,1,0,0,0
DE (Delaware),0,0,0,0,0
FL (Florida),43,51,9909.3,1500,11409.3
GA (Georgia),6,21,1545.98,2888,4433.99
GM (Gulf of Mexico),2,7,0.03,0,0.03
GU (Guam),0,0,0.1,0.05,0.15
HI (Hawaii),3,6,28.45,0.02,28.47
IA (Iowa),1,45,346.35,17.13,363.48
ID (Idaho),3,0,43.25,0,43.25
IL (Illinois),4,36,143.71,0.08,143.79
IN (Indiana),7,1,14.94,0.18,15.12
KS (Kansas),4,18,37.16,3.73,40.89
KY (Kentucky),10,18,30.16,0.03,30.19
LA (Louisiana),6,18,18.18,0.11,18.29
LC (Lake St.Clair),0,0,0,0,0
LE (Lake Erie),0,0,0,0,0
LH (Lake Huron),0,0,0,0,0
LM (Lake Michigan),0,0,0.02,0,0.02
LO (Lake Ontario),0,0,0,0,0
LS (Lake Superior),0,0,0,0,0
MA (Massachusetts),2,6,9.57,0,9.57
MD (Maryland),29,11,72.34,0,72.34
ME (Maine),0,0,7.66,0,7.66
MI (Michigan),7,3,201.52,0.02,201.54
MN (Minnesota),2,8,44.74,1.57,46.3
MO (Missouri),7,224,9.22,0.03,9.25
MS (Mississippi),1,13,28.4,0.31,28.71
MT (Montana),1,0,10.59,0,10.59
NC (North Carolina),28,14,2023.53,430.12,2453.65
Report generated: 4/29/2019 11:31:38 AM,,,,,5 / 6
ND (North Dakota),2,32,25.11,1.47,26.58
NE (Nebraska),1,2,21.8,101.91,123.71
NH (New Hampshire),2,9,3.45,0,3.45
NJ (New Jersey),3,7,4.14,0,4.14
NM (New Mexico),1,27,8.11,0,8.11
NV (Nevada),74,6,16.76,0,16.76
NY (New York),13,11,14.58,0,14.58
OH (Ohio),1,4,15.89,0.05,15.94
OK (Oklahoma),6,240,4.68,0,4.68
OR (Oregon),11,0,1.23,0.01,1.24
PA (Pennsylvania),5,16,30.65,0.38,31.03
PH (Hawaii Waters),0,0,0,0,0
PR (Puerto Rico),2,0,0.01,0,0.01
PZ (East Pacific),1,1,0.1,0,0.1
RI (Rhode Island),2,0,1.15,0,1.15
SC (South Carolina),5,8,5.91,0.01,5.92
SD (South Dakota),1,2,5.18,0.01,5.18
SL (St.Lawrence River),0,0,0,0,0
TN (Tennessee),9,12,21.26,0,21.26
TX (Texas),32,37,321.98,0.54,322.52
UT (Utah),0,2,55.03,0,55.03
VA (Virginia),14,19,93.63,0.31,93.94
VI (Virgin Islands),0,0,0,0,0
VT (Vermont),1,0,5.05,0,5.05
WA (Washington),2,0,141.83,0,141.83
WI (Wisconsin),12,11,181.95,4.22,186.17
WV (West Virginia),3,0,6.73,0,6.74
WY (Wyoming),2,5,10.2,0,10.2
Total,530,1378,35849.32,5102.54,40951.86
Report generated: 4/29/2019 11:31:38 AM,,,,,6 / 6
