"2020 Summary of Hazardous Weather Fatalities, Injuries, and Damage Costs by State",,,,,
State,Fatalities,Injuries,Property,Crop,Total
,,,Damage,Damage,Damage
,,,(million $),(million $),(million $)
AK (Alaska),5,0,35.85,0,35.85
AL (Alabama),11,27,313.39,2.08,315.47
AM (Atlantic South),0,0,0,0,0
AN (Atlantic North),0,0,0.01,0,0.01
AR (Arkansas),2,32,313.81,1.41,315.21
AS (American Samoa),5,0,0.82,0.11,0.92
AZ (Arizona),45,8,3.95,0,3.95
CA (California),46,253,41.49,0,41.49
CO (Colorado),12,9,295.98,30,325.98
CT (Connecticut),1,1,56.4,0,56.4
DC (District of Columbia),0,2,0.56,0,0.56
DE (Delaware),0,0,0,0,0
FL (Florida),19,29,361.3,90.03,451.33
GA (Georgia),17,48,33.95,0.01,33.96
GM (Gulf of Mexico),0,0,0.5,0,0.5
GU (Guam),0,0,0.13,0.01,0.14
HI (Hawaii),0,0,30.89,0.05,30.94
IA (Iowa),3,100,1.82,23.14,24.96
ID (Idaho),10,3,6.54,0.02,6.57
IL (Illinois),8,15,48.48,0.98,49.46
IN (Indiana),13,13,7.24,1.38,8.62
KS (Kansas),0,1,4.85,26.68,31.52
KY (Kentucky),8,11,28.17,0.49,28.66
LA (Louisiana),19,26,14667.25,0.03,14667.28
LC (Lake St.Clair),0,0,0,0,0
LE (Lake Erie),0,0,1,0,1
LH (Lake Huron),0,0,0,0,0
LM (Lake Michigan),0,0,0,0,0
LO (Lake Ontario),0,0,0.03,0,0.03
LS (Lake Superior),0,0,0,0,0
MA (Massachusetts),1,14,32.24,0.01,32.24
MD (Maryland),1,20,10,0.05,10.05
ME (Maine),1,1,0.53,18.7,19.23
MI (Michigan),5,9,276.98,0,276.98
MN (Minnesota),3,5,14.52,9.49,24.01
MO (Missouri),7,3,23.67,1.1,24.78
MS (Mississippi),15,125,248.16,24.1,272.27
MT (Montana),5,6,3.17,0,3.17
NC (North Carolina),29,25,79.9,0,79.9
ND (North Dakota),0,0,5.46,2.25,7.71
NE (Nebraska),0,2,6.68,24.6,31.27
NH (New Hampshire),1,6,2.46,61.5,63.96
NJ (New Jersey),0,8,1.55,0,1.55
NM (New Mexico),0,0,4.36,0.11,4.46
NV (Nevada),1,3,0.44,0,0.44
NY (New York),12,6,70.79,0.14,70.93
OH (Ohio),7,6,28.8,0,28.8
OK (Oklahoma),7,8,18.7,0,18.7
OR (Oregon),17,2,3671.66,0,3671.66
PA (Pennsylvania),8,26,13.15,0.01,13.16
PH (Hawaii Waters),0,0,0,0,0
PR (Puerto Rico),18,3,13.34,0,13.34
PZ (East Pacific),0,0,0,0,0
RI (Rhode Island),0,1,0.29,0,0.29
SC (South Carolina),19,104,125.05,0.01,125.06
SD (South Dakota),1,3,3.57,8.77,12.34
SL (St.Lawrence River),0,0,0,0,0
TN (Tennessee),30,345,1636.43,0.83,1637.26
TX (Texas),23,64,2773.32,180.28,2953.6
UT (Utah),4,23,13.99,0,13.99
VA (Virginia),1,14,41.29,0.1,41.39
VI (Virgin Islands),0,0,0,0,0
VT (Vermont),0,0,1.91,0.01,1.92
WA (Washington),5,11,1340.16,0.52,1340.68
WI (Wisconsin),11,1,79.28,0.26,79.54
WV (West Virginia),1,3,5.62,0,5.62
WY (Wyoming),0,0,0.03,0,0.03
Total,457,1425,26801.89,509.24,27311.13
